,symbol,date,dte,time,fut_close_yest,atm_iv_yest
0,ABB,13-09-2024,14,13:00:00,7706.942149,31.39907833
1,ABCAPITAL,13-09-2024,14,13:00:00,225.1680992,32.5120179
2,ABFRL,13-09-2024,14,13:15:00,327.5661017,28.83457836
3,ACC,13-09-2024,14,13:00:00,2519.290083,23.3927347
4,ADANIENT,13-09-2024,14,13:00:00,2977.571488,27.24550738
5,ADANIPORTS,13-09-2024,14,13:00:00,1454.428512,26.75966022
6,ALKEM,13-09-2024,14,13:00:00,6365.118675,25.65395216
7,AMBUJACEM,13-09-2024,14,13:00:00,632.0780992,24.41224871
8,APOLLOHOSP,13-09-2024,14,13:00:00,7053.186364,21.20813852
9,APOLLOTYRE,13-09-2024,14,13:04:00,520.7547009,27.27426664
10,ASHOKLEY,13-09-2024,14,13:00:00,246.3140496,25.96838785
11,ASIANPAINT,13-09-2024,14,13:00:00,3361.793802,18.93521748
12,ASTRAL,13-09-2024,14,13:00:00,1943.661927,28.13268426
13,ATUL,13-09-2024,14,13:00:00,8013.964655,29.4608298
14,AUBANK,13-09-2024,14,13:00:00,724.1541322,26.22512232
15,AUROPHARMA,13-09-2024,14,13:00:00,1569.692562,25.65404331
16,AXISBANK,13-09-2024,14,13:00:00,1213.085124,18.16337691
17,BAJAJ-AUTO,13-09-2024,14,13:00:00,11783.36074,25.84332018
18,BAJAJFINSV,13-09-2024,14,13:00:00,1902.931405,27.62660587
19,BAJFINANCE,13-09-2024,14,13:00:00,7626.933058,28.27089752
20,BALKRISIND,13-09-2024,14,13:00:00,3114.985537,25.08326389
21,BANDHANBNK,13-09-2024,14,13:05:00,206.2710638,32.74868021
22,BANKBARODA,13-09-2024,14,13:00:00,240.0780992,26.68751814
23,BATAINDIA,13-09-2024,14,13:00:00,1445.970248,24.42074194
24,BEL,13-09-2024,14,13:00:00,291.111157,30.01660895
25,BERGEPAINT,13-09-2024,14,13:00:00,622.5227273,25.63318963
26,BHARATFORG,13-09-2024,14,13:00:00,1618.946281,28.47504612
27,BHARTIARTL,13-09-2024,14,13:00:00,1636.606612,19.02303924
28,BHEL,13-09-2024,14,13:00:00,265.6033058,35.05554056
29,BIOCON,13-09-2024,14,13:00:00,381.3991736,35.73293726
30,BOSCHLTD,13-09-2024,14,13:00:00,34357.13264,28.13259567
31,BPCL,13-09-2024,14,13:00:00,343.3706612,31.3970959
32,BRITANNIA,13-09-2024,14,13:00:00,6113.480579,17.45440709
33,BSOFT,13-09-2024,14,13:00:00,663.2681818,36.05056721
34,CANBK,13-09-2024,14,13:00:00,106.668595,30.14331936
35,CANFINHOME,13-09-2024,14,13:00:00,930.5495868,37.08313008
36,CHOLAFIN,13-09-2024,14,13:00:00,1579.407851,28.1565008
37,CIPLA,13-09-2024,14,13:00:00,1658.390496,21.47190967
38,COALINDIA,13-09-2024,14,13:00:00,492.5566116,25.13911428
39,COFORGE,13-09-2024,14,13:00:00,6983.192149,30.64109528
40,COLPAL,13-09-2024,14,13:00:00,3625.041139,23.08699631
41,CONCOR,13-09-2024,14,13:00:00,960.2590909,24.38816009
42,COROMANDEL,13-09-2024,14,13:15:00,1697.70814,27.67095015
43,CROMPTON,13-09-2024,14,13:00:00,454.8161765,31.30097088
44,CUB,13-09-2024,14,13:00:00,171.4330579,33.85913973
45,CUMMINSIND,13-09-2024,14,13:00:00,3804.365702,30.07312273
46,DABUR,13-09-2024,14,13:00:00,661.5623967,22.67751132
47,DALBHARAT,13-09-2024,14,13:00:00,1905.727895,28.35457279
48,DEEPAKNTR,13-09-2024,14,13:00:00,2947.877465,29.75461147
49,DIVISLAB,13-09-2024,14,13:00:00,5453.852893,24.05446933
50,DIXON,13-09-2024,14,13:00:00,12993.55207,36.78659677
51,DLF,13-09-2024,14,13:00:00,862.5809917,27.9080799
52,DRREDDY,13-09-2024,14,13:00:00,6681.526033,21.41227785
53,EICHERMOT,13-09-2024,14,13:00:00,4857.707438,21.05533445
54,ESCORTS,13-09-2024,14,13:00:00,3821.594628,27.49528234
55,EXIDEIND,13-09-2024,14,13:00:00,488.0677686,28.2217099
56,FEDERALBNK,13-09-2024,14,13:00:00,186.5538843,23.48073557
57,GAIL,13-09-2024,14,13:00:00,219.4013223,27.9049098
58,GLENMARK,13-09-2024,14,13:00:00,1752.209917,29.13959177
59,GMRINFRA,13-09-2024,14,13:00:00,96.24363636,34.8499782
60,GNFC,13-09-2024,14,13:00:00,664.1505556,29.75524415
61,GODREJCP,13-09-2024,14,13:00:00,1483.47686,28.08506387
62,GRASIM,13-09-2024,14,13:00:00,2782.598347,21.46173772
63,GUJGASLTD,13-09-2024,14,13:00:00,634.8103306,27.22813298
64,HAL,13-09-2024,14,13:00:00,4667.68843,31.67611401
65,HAVELLS,13-09-2024,14,13:00:00,1986.918595,24.35714361
66,HCLTECH,13-09-2024,14,13:00:00,1813.180992,20.16420002
67,HDFCAMC,13-09-2024,14,13:00:00,4418.659091,27.99206542
68,HDFCBANK,13-09-2024,14,13:00:00,1665.190909,14.1890715
69,HDFCLIFE,13-09-2024,14,13:00:00,706.7359504,23.63782791
70,HEROMOTOCO,13-09-2024,14,13:00:00,5808.851653,26.39550126
71,HINDALCO,13-09-2024,14,13:00:00,674.842562,28.57911268
72,HINDPETRO,13-09-2024,14,13:19:00,409.4963415,35.97142331
73,HINDUNILVR,13-09-2024,14,13:00:00,2938.036777,18.65957362
74,ICICIBANK,13-09-2024,14,13:00:00,1246.306198,17.29740078
75,ICICIGI,13-09-2024,14,13:03:00,2118.355752,24.79628938
76,ICICIPRULI,13-09-2024,14,13:00:00,758.2863636,25.32943246
77,IDEA,13-09-2024,14,13:00:00,13.53790476,0
78,IDFC,13-09-2024,14,13:03:00,112.1679412,23.33873153
79,IDFCFIRSTB,13-09-2024,14,13:00:00,73.80909091,26.07763924
80,IEX,13-09-2024,14,13:00:00,220.3152066,31.98166939
