,date,symbol
0,2025-01-09,TCS
1,2025-01-09,TATAELXSI
2,2025-01-10,CESC
3,2025-01-11,DMART
4,2025-01-13,HCLTECH
5,2025-01-13,ANGELONE
6,2025-01-14,HDFCAMC
7,2025-01-15,PVRINOX
8,2025-01-15,LTTS
9,2025-01-15,OFSS
10,2025-01-15,HDFCLIFE
11,2025-01-16,AXISBANK
12,2025-01-16,LTIM
13,2025-01-16,INFY
14,2025-01-16,RELIANCE
15,2025-01-16,HAVELLS
16,2025-01-17,INDHOTEL
17,2025-01-17,JSL
18,2025-01-17,SBILIFE
19,2025-01-17,ICICIGI
20,2025-01-17,TATACHEM
21,2025-01-17,JIOFIN
22,2025-01-17,WIPRO
23,2025-01-17,TECHM
24,2025-01-18,KOTAKBANK
25,2025-01-18,RBLBANK
26,2025-01-18,TATACONSUM
27,2025-01-18,CANFINHOME
28,2025-01-20,IRFC
29,2025-01-20,DIXON
30,2025-01-20,LTF
31,2025-01-20,MCX
32,2025-01-20,ZOMATO
33,2025-01-20,OBEROIRLTY
34,2025-01-20,PAYTM
35,2025-01-20,SUPREMEIND
36,2025-01-20,APLAPOLLO
37,2025-01-21,INDIAMART
38,2025-01-21,KEI
39,2025-01-21,UNIONBANK
40,2025-01-21,ICICIPRULI
41,2025-01-21,CUB
42,2025-01-21,DALBHARAT
43,2025-01-21,HFCL
44,2025-01-21,CGPOWER
45,2025-01-22,HUDCO
46,2025-01-22,PIDILITIND
47,2025-01-22,POLYCAB
48,2025-01-22,ADANIENSOL
49,2025-01-22,HINDUNILVR
50,2025-01-22,VBL
51,2025-01-22,HDFCBANK
52,2025-01-22,TATACOMM
53,2025-01-22,SRF
54,2025-01-22,BPCL
55,2025-01-22,PERSISTENT
56,2025-01-22,COFORGE
57,2025-01-23,HINDPETRO
58,2025-01-23,UNITDSPR
59,2025-01-23,LALPATHLAB
60,2025-01-23,SYNGENE
61,2025-01-23,DRREDDY
62,2025-01-23,ADANIGREEN
63,2025-01-23,GODREJPROP
64,2025-01-23,MPHASIS
65,2025-01-23,PEL
66,2025-01-23,BSOFT
67,2025-01-23,CYIENT
68,2025-01-23,INDUSTOWER
69,2025-01-23,SONACOMS
70,2025-01-23,ULTRACEMCO
71,2025-01-23,IEX
72,2025-01-24,LAURUSLABS
73,2025-01-24,ITC
74,2025-01-24,NTPC
75,2025-01-24,JSWENERGY
76,2025-01-24,ACC
77,2025-01-24,AUBANK
78,2025-01-24,GRANULES
79,2025-01-24,GMRAIRPORT
80,2025-01-24,ATUL
81,2025-01-24,GODREJCP
82,2025-01-24,JSWSTEEL
83,2025-01-24,ATGL
84,2025-01-24,MGL
85,2025-01-24,INDUSINDBK
86,2025-01-24,COLPAL
87,2025-01-24,COROMANDEL
88,2025-01-24,TORNTPHARM
89,2025-01-25,BANDHANBNK
90,2025-01-25,YESBANK
91,2025-01-25,IDFCFIRSTB
92,2025-01-25,JKCEMENT
93,2025-01-25,INDIGO
94,2025-01-25,BANKBARODA
95,2025-01-25,ICICIBANK
96,2025-01-25,BALKRISIND
