,symbol,move_iv
0,AARTIIND,44.471
1,ABB,35.212
2,ABCAPITAL,31.689999999999998
3,ACC,31.177500000000002
4,ADANIENSOL,48.216
5,ADANIENT,35.833
6,ADANIGREEN,55.121
7,ADANIPORTS,41.4125
8,AMBUJACEM,35.956
9,APLAPOLLO,45.079
10,APOLLOHOSP,20.879
11,APOLLOTYRE,30.938000000000002
12,ASHOKLEY,32.976
13,ASIANPAINT,18.854
14,ASTRAL,28.2905
15,ATGL,54.871
16,AUBANK,27.576
17,AUROPHARMA,26.089000000000006
18,AXISBANK,26.976
19,BAJAJ-AUTO,21.035
20,BAJAJFINSV,25.62
21,BAJFINANCE,26.5745
22,BALKRISIND,37.981
23,BANKBARODA,25.42
24,BANKINDIA,31.246000000000002
25,BANKNIFTY,20.247
26,BATAINDIA,22.019
27,BEL,32.126000000000005
28,BERGEPAINT,19.281
29,BHARATFORG,37.391
30,BHARTIARTL,19.999
31,BHEL,42.203
32,BIOCON,34.905
33,BOSCHLTD,23.528
34,BPCL,31.756999999999998
35,BRITANNIA,25.14
36,BSE,48.593
37,BSOFT,31.826
38,CAMS,43.262
39,CANBK,30.640500000000003
40,CDSL,36.178
41,CESC,40.923
42,CGPOWER,44.861
43,CHAMBLFERT,28.54
44,CHOLAFIN,30.456000000000003
45,CIPLA,19.003
46,COALINDIA,29.422
47,COFORGE,39.314
48,COLPAL,30.146500000000003
49,CONCOR,24.866
50,COROMANDEL,33.626
51,CROMPTON,27.375999999999998
52,CUB,22.208
53,CUMMINSIND,28.731
54,DABUR,20.55
55,DALBHARAT,34.875
56,DEEPAKNTR,30.310000000000002
57,DELHIVERY,47.353
58,DIVISLAB,31.744
59,DIXON,53.831
60,DLF,37.963
61,DMART,24.206
62,DRREDDY,20.2475
63,EICHERMOT,22.336
64,ESCORTS,24.768
65,EXIDEIND,29.848
66,FEDERALBNK,23.4135
67,FINNIFTY,19.184
68,GAIL,30.903
69,GLENMARK,36.455000000000005
70,GMRAIRPORT,35.041
71,GNFC,29.192
72,GODREJPROP,38.272
73,GRANULES,36.338
74,GRASIM,21.457
75,GUJGASLTD,25.611
76,HAL,43.9365
77,HAVELLS,42.556
78,HCLTECH,24.117
79,HDFCAMC,33.994
80,HDFCBANK,21.503
81,HDFCLIFE,36.649
82,HEROMOTOCO,20.421
83,HFCL,55.357
84,HINDALCO,24.627000000000002
85,HINDCOPPER,56.147000000000006
86,HINDPETRO,36.8385
87,HINDUNILVR,18.1825
88,HUDCO,58.604
89,ICICIBANK,22.1835
90,ICICIGI,43.613
91,ICICIPRULI,44.041
92,IDEA,86.251
93,IDFCFIRSTB,28.156999999999996
94,IEX,36.858
95,IGL,40.43
96,INDHOTEL,38.106
97,INDIAMART,50.799
98,INDIANB,30.119
99,INDIGO,36.882000000000005
100,INDUSINDBK,28.241999999999997
101,INDUSTOWER,42.538
102,INFY,27.76
103,IOC,28.219
104,IRB,42.836
105,IRCTC,30.145000000000003
106,IRFC,43.372
107,ITC,20.244
108,JINDALSTEL,32.617
109,JIOFIN,35.1
110,JKCEMENT,37.923
111,JSWENERGY,33.371
112,JSWSTEEL,23.037000000000003
113,JUBLFOOD,37.229
114,KEI,47.646
115,KOTAKBANK,26.671
116,KPITTECH,41.518
117,LALPATHLAB,24.24
118,LAURUSLABS,43.538
119,LICHSGFIN,26.488
