,symbol,long_move_val,full_move_val,benchmark_fut_val,long_moves,days_theta
0,BANKBARODA,2.5304519403056025,3.6149313432937182,261.49,406,203.0
1,GUJGASLTD,4.44219997860781,6.345999969439729,496.75,450,225.0
2,PFC,5.952868823429541,8.50409831918506,510.7,342,171.0
3,UNITDSPR,11.681014836842106,16.68716405263158,1530.25,525,262.5
4,DLF,8.263403800509337,11.804862572156198,850.9,412,206.0
5,GAIL,1.9629014209677424,2.8041448870967747,208.05,418,209.0
6,TATAPOWER,3.9155683781409167,5.593669111629882,427.0,439,219.5
7,ATUL,64.14787406893039,91.639820098472,7410.75,464,232.0
8,AUROPHARMA,12.171446392190152,17.387780560271647,1260.65,412,206.0
9,BSOFT,6.664136677971139,9.520195254244484,607.5,364,182.0
10,SAIL,1.412958608336163,2.01851229762309,123.7,349,174.5
11,MFSL,13.223906407894738,18.891294868421056,1171.9,352,176.0
12,OBEROIRLTY,24.04315854749576,34.34736935356536,2144.0,350,175.0
13,LICHSGFIN,5.962197196943972,8.517424567062818,640.6,430,215.0
14,POWERGRID,2.610621726655349,3.7294596095076415,325.85,506,253.0
15,SHRIRAMFIN,35.503942003395586,50.71991714770798,3138.8,355,177.5
16,BRITANNIA,36.48225222003395,52.11750317147708,4868.0,540,270.0
17,APOLLOTYRE,4.66800993883701,6.668585626910015,533.5,446,223.0
18,AXISBANK,8.034708268251272,11.47815466893039,1162.0,580,290.0
19,ABFRL,3.441262777164685,4.916089681663837,313.85,369,184.5
20,ZYDUSLIFE,8.199120208488965,11.713028869269952,974.1,479,239.5
21,GRANULES,8.624908686162986,12.32129812308998,542.85,249,124.5
22,APOLLOHOSP,53.60911020904075,76.5844431557725,7248.0,536,268.0
23,ASIANPAINT,17.235046952801355,24.62149564685908,2470.7,575,287.5
24,JKCEMENT,44.06649578471987,62.95213683531411,4635.95,421,210.5
25,AMBUJACEM,5.854992935271648,8.36427562181664,566.8,386,193.0
26,NMDC,2.442583451273345,3.489404930390493,235.62,387,193.5
27,CUB,1.9387621378013584,2.769660196859084,185.5,381,190.5
28,HDFCBANK,11.379016543548389,16.25573791935484,1860.1,650,325.0
29,CUMMINSIND,36.36764222695245,51.95377460993208,3552.2,391,195.5
30,BHARTIARTL,11.979101411884548,17.113002016977926,1591.75,537,268.5
31,GODREJCP,9.952240425509334,14.217486322156192,1231.5,496,248.0
32,BANDHANBNK,1.829547624329372,2.613639463327674,178.82,388,194.0
33,CIPLA,11.332555034422748,16.189364334889643,1508.0,537,268.5
34,GODREJPROP,34.33677870178268,49.05254100254669,2911.0,335,167.5
35,GLENMARK,14.725454675806454,21.03636382258065,1556.25,424,212.0
36,ASTRAL,14.56440502958404,20.80629289940577,1840.65,507,253.5
37,MARUTI,83.4540654437606,119.22009349108656,11179.9,540,270.0
38,MARICO,5.349875718930391,7.642679598471987,631.7,478,239.0
39,GNFC,7.271261480475382,10.387516400679118,637.0,354,177.0
40,LTIM,52.46326977351442,74.94752824787774,6243.3,473,236.5
41,INDIAMART,24.45721879465196,34.93888399235994,2378.1,388,194.0
42,MPHASIS,32.634817865025454,46.6211683786078,3028.0,372,186.0
43,ICICIGI,16.151629053820038,23.07375579117148,1954.05,477,238.5
44,M&M,30.414279515789467,43.4489707368421,3035.85,400,200.0
45,LAURUSLABS,6.701044130730052,9.572920186757218,584.95,348,174.0
46,WIPRO,2.491624512096774,3.559463588709677,294.7,473,236.5
47,VOLTAS,16.06141404677419,22.94487720967741,1690.8,423,211.5
48,LUPIN,17.265898702886247,24.665569575551785,2110.0,483,241.5
49,PVRINOX,18.785194800509338,26.8359925721562,1604.4,340,170.0
50,BHEL,3.044435580135824,4.34919368590832,253.15,332,166.0
51,PNB,1.2200786772750427,1.7429695389643467,110.55,358,179.0
52,TRENT,76.55065109465195,109.35807299235996,6848.0,359,179.5
53,MRF,829.551290867063,1185.073272667233,127347.5,610,305.0
54,COALINDIA,3.480737606791171,4.972482295415959,419.0,486,243.0
55,ALKEM,48.77909818336162,69.68442597623088,5679.95,466,233.0
56,BPCL,3.0306043359932096,4.329434765704585,295.15,393,196.5
57,TATAMOTORS,7.222444102037352,10.31777728862479,791.95,443,221.5
58,HINDCOPPER,3.4841445008488967,4.977349286926995,284.75,328,164.0
59,POLYCAB,69.08842479202035,98.69774970288624,7328.0,428,214.0
60,RECLTD,6.150524899830219,8.7864641426146,545.35,357,178.5
61,MOTHERSON,1.8541047775466888,2.648721110780984,163.47,356,178.0
62,IPCALAB,14.25712733064516,20.36732475806452,1494.95,421,210.5
63,TATACHEM,11.170166010696096,15.957380015280137,1131.15,407,203.5
64,PAGEIND,401.3465232903226,573.3521761290324,46052.3,458,229.0
65,NTPC,2.6808574329371813,3.829796332767402,373.5,555,277.5
66,JSWSTEEL,8.657677891341256,12.368111273344653,998.0,463,231.5
67,HAL,46.72096861502546,66.74424087860781,4534.0,388,194.0
68,TCS,29.578805794227502,42.25543684889644,4359.85,589,294.5
69,ESCORTS,33.818760005305606,48.31251429329373,3466.0,415,207.5
70,ICICIPRULI,6.579919098896434,9.399884426994907,678.5,418,209.0
71,HINDUNILVR,15.937084013837008,22.767262876910014,2474.5,623,311.5
