,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,0,0,0,0,0,0,GUJGASLTD,4.235302180135824,451.05,9.0,4.5,2024-11-18 14:26:29.374438
1,1,1,1,1,1,1,BANKBARODA,2.3559109445670625,241.71129032258068,0.0,0.0,2024-11-18 09:03:55.201794
2,2,2,2,2,2,2,PFC,5.775786860016978,458.65,1.0,0.5,2024-11-18 14:26:29.374438
3,3,3,3,3,3,3,UNITDSPR,10.856915424787768,1475.45,3.0,1.5,2024-11-18 14:26:29.374438
4,4,4,4,4,4,4,PIDILITIND,20.78550642427844,3021.7935483870974,0.0,0.0,2024-11-18 09:03:55.201794
5,5,5,5,5,5,5,DLF,7.112296400679117,765.009677419355,0.0,0.0,2024-11-18 09:03:55.201794
6,6,6,6,6,6,6,BEL,3.03069599023769,281.0564516129032,0.0,0.0,2024-11-18 09:03:55.201794
7,7,7,7,7,7,7,LALPATHLAB,24.993837770797967,2961.8500000000004,0.0,0.0,2024-11-18 09:03:55.201794
8,8,8,8,8,8,8,TATAPOWER,4.138976026315789,405.1983870967742,0.0,0.0,2024-11-18 09:03:55.201794
9,9,9,9,9,9,9,GAIL,1.901007223089983,186.09,2.0,1.0,2024-11-18 14:26:29.374438
10,10,10,10,10,10,10,TATACOMM,16.81979385216469,1727.65,2.0,1.0,2024-11-18 14:26:29.374438
11,11,11,11,11,11,11,ATUL,63.48030962309,7191.6,2.0,1.0,2024-11-18 14:26:29.374438
12,12,12,12,12,12,12,SYNGENE,7.521101570458402,844.2,3.0,1.5,2024-11-18 14:26:29.374438
13,13,13,13,13,13,13,ITC,2.7824565382003392,467.0451612903226,0.0,0.0,2024-11-18 09:03:55.201794
14,14,14,14,14,14,14,AUROPHARMA,10.439145242105264,1238.45,1.0,0.5,2024-11-18 14:26:29.374438
15,15,15,15,15,15,15,M&MFIN,2.5481842342954155,256.6467741935484,0.0,0.0,2024-11-18 09:03:55.201794
16,16,16,16,16,16,16,BHARATFORG,13.23245080280136,1306.7,2.0,1.0,2024-11-18 14:26:29.374438
17,17,17,17,17,17,17,ICICIBANK,8.406086765025469,1258.1306451612902,0.0,0.0,2024-11-18 09:03:55.201794
18,18,18,18,18,18,18,CROMPTON,5.594535115747028,384.35,2.0,1.0,2024-11-18 14:26:29.374438
19,19,19,19,19,19,19,COLPAL,22.5678837266129,2751.7,2.0,1.0,2024-11-18 14:26:29.374438
20,20,20,20,20,20,20,SAIL,1.3563986877249576,113.55,1.0,0.5,2024-11-18 14:26:29.374438
21,21,21,21,21,21,21,BSOFT,5.676173310696095,549.2,2.0,1.0,2024-11-18 14:26:29.374438
22,22,22,22,22,22,22,UBL,15.240785831918505,1862.2967741935488,0.0,0.0,2024-11-18 09:03:55.201794
23,23,23,23,23,23,23,MFSL,12.016570322580645,1231.9306451612904,0.0,0.0,2024-11-18 09:03:55.201794
24,24,24,24,24,24,24,NAUKRI,76.02838301994906,7594.55,2.0,1.0,2024-11-18 14:26:29.374438
25,25,25,25,25,25,25,BERGEPAINT,3.881503406112053,483.55,2.0,1.0,2024-11-18 14:26:29.374438
26,26,26,26,26,26,26,SUNTV,,,,,
27,27,27,27,27,27,27,OBEROIRLTY,22.77452394142615,1915.5,2.0,1.0,2024-11-18 14:26:29.374438
28,28,28,28,28,28,28,CANBK,1.0024301368421054,97.56612903225808,0.0,0.0,2024-11-18 09:03:55.201794
29,29,29,29,29,29,29,POWERGRID,2.353215512563667,312.9435483870967,0.0,0.0,2024-11-18 09:03:55.201794
30,30,30,30,30,30,30,HINDPETRO,4.478522341001698,368.0,1.0,0.5,2024-11-18 14:53:51.742728
31,31,31,31,31,31,31,SHRIRAMFIN,31.11065908251273,2859.05,1.0,0.5,2024-11-18 14:26:29.374438
32,32,32,32,32,32,32,BRITANNIA,37.21610455428693,4916.687096774193,0.0,0.0,2024-11-18 09:03:55.201794
33,33,33,33,33,33,33,AXISBANK,8.143756140662141,1127.65,2.0,1.0,2024-11-18 14:26:29.374438
34,34,34,34,34,34,34,SIEMENS,71.55395634448216,6647.0,1.0,0.5,2024-11-18 14:26:29.374438
35,35,35,35,35,35,35,ZYDUSLIFE,7.488822443123937,948.8,1.0,0.5,2024-11-18 14:26:29.374438
36,36,36,36,36,36,36,LICHSGFIN,5.907789881154499,608.2387096774193,0.0,0.0,2024-11-18 09:03:55.201794
37,37,37,37,37,37,37,BAJAJFINSV,12.74122783803056,1617.55,2.0,1.0,2024-11-18 14:26:29.374438
38,38,38,38,38,38,38,APOLLOHOSP,47.63405218930389,6780.7,2.0,1.0,2024-11-18 14:26:29.374438
39,39,39,39,39,39,39,DALBHARAT,14.993314180645164,1701.8,1.0,0.5,2024-11-18 14:26:29.374438
40,40,40,40,40,40,40,APOLLOTYRE,4.962189751782684,467.9,1.0,0.5,2024-11-18 14:28:25.471414
41,41,41,41,41,41,41,GRANULES,5.512275355263159,537.2612903225807,0.0,0.0,2024-11-18 09:03:55.201794
42,42,42,42,42,42,42,CANFINHOME,7.964433919949067,825.359677419355,0.0,0.0,2024-11-18 09:03:55.201794
43,43,43,43,43,43,43,ABFRL,2.9551173735144314,291.43548387096774,0.0,0.0,2024-11-18 09:03:55.201794
44,44,44,44,44,44,44,JKCEMENT,31.40664276604413,3939.0,2.0,1.0,2024-11-18 14:26:29.374438
