,Unnamed: 0.1,Unnamed: 0,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,0,0,BANKBARODA,2.5750767570458404,246.3,6.0,3.0,2024-11-25 12:01:46.465925
1,1,1,GUJGASLTD,5.302639515704582,467.75,3.0,1.5,2024-11-25 12:01:46.465925
2,2,2,PFC,5.991566451612906,488.35,6.0,3.0,2024-11-25 12:01:46.465925
3,3,3,UNITDSPR,12.250921177419354,1523.95,2.0,1.0,2024-11-25 12:01:46.465925
4,4,4,PIDILITIND,23.02240500000001,3023.7,3.0,1.5,2024-11-25 12:01:46.465925
5,5,5,DLF,8.30689980687606,834.95,7.0,3.5,2024-11-25 12:01:46.465925
6,6,6,BEL,3.3694896896434634,293.35,7.0,3.5,2024-11-25 14:22:18.922930
7,7,7,LALPATHLAB,27.03316792105264,3083.0,2.0,1.0,2024-11-25 12:01:46.465925
8,8,8,TATAPOWER,4.632259258064516,417.1,1.0,0.5,2024-11-25 12:01:46.465925
9,9,9,GAIL,2.240521176086588,199.01,4.0,2.0,2024-11-25 12:01:46.465925
10,10,10,TATACOMM,17.567807002207132,1791.05,4.0,2.0,2024-11-25 12:01:46.465925
11,11,11,ATUL,80.64415674023769,7401.0,2.0,1.0,2024-11-25 12:01:46.465925
12,12,12,SYNGENE,8.820177184380299,890.55,4.0,2.0,2024-11-25 12:01:46.465925
13,13,13,ITC,3.1381374511884546,476.2,5.0,2.5,2024-11-25 12:01:46.465925
14,14,14,AUROPHARMA,12.781755619185056,1226.6306451612902,0.0,0.0,2024-11-25 09:19:24.078985
15,15,15,M&MFIN,3.0457079002546683,271.5,8.0,4.0,2024-11-25 14:22:18.922930
16,16,16,BHARATFORG,14.084383172750425,1333.95,2.0,1.0,2024-11-25 12:01:46.465925
17,17,17,ICICIBANK,9.275031765025464,1306.8,5.0,2.5,2024-11-25 12:01:46.465925
18,18,18,CROMPTON,4.578149873684212,407.45,5.0,2.5,2024-11-25 14:22:18.922930
19,19,19,COLPAL,26.48001009303905,2831.15,5.0,2.5,2024-11-25 12:01:46.465925
