,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUJGASLTD,5.033910430220714,475.25,2,1.0,2024-11-26 14:55:52.623115
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,BANKBARODA,2.5232388812818334,248.75,5,2.5,2024-11-26 10:09:22.502493
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,PFC,5.92416206409168,487.25,2,1.0,2024-11-26 10:09:22.502493
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,UNITDSPR,11.99809255806452,1515.7,5,2.5,2024-11-26 12:05:11.606063
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,PIDILITIND,22.083147314516125,3027.05,2,1.0,2024-11-26 12:05:11.606063
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,DLF,8.04743872852292,830.4,3,1.5,2024-11-26 10:09:22.502493
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,BEL,3.2532408839558578,299.45,5,2.5,2024-11-26 10:09:22.502493
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,LALPATHLAB,30.572352631578937,3105.05,1,0.5,2024-11-26 10:56:32.684495
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,TATAPOWER,4.525997824787777,409.4,2,1.0,2024-11-26 10:09:22.502493
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,GAIL,2.1154300338030554,194.75,3,1.5,2024-11-26 14:55:52.623115
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,TATACOMM,15.945507589813245,1764.5,5,2.5,2024-11-26 15:04:15.293976
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,ATUL,75.83154526315786,7407.3,1,0.5,2024-11-26 10:39:55.206264
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,SYNGENE,7.947904484210531,911.4,4,2.0,2024-11-26 14:55:52.623115
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,ITC,2.9539515392614595,476.8,2,1.0,2024-11-26 12:05:11.606063
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,AUROPHARMA,12.298270208404077,1233.1,2,1.0,2024-11-26 15:04:15.293976
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,M&MFIN,2.902324926230901,270.35,6,3.0,2024-11-26 14:55:52.623115
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,BHARATFORG,13.285575721561964,1325.0645161290322,0,0.0,2024-11-26 09:04:57.273764
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,ICICIBANK,9.316895992359935,1310.7,3,1.5,2024-11-26 10:09:22.502493
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,CROMPTON,4.039336708319186,406.5,3,1.5,2024-11-26 10:09:22.502493
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,COLPAL,24.30923913989813,2928.0,8,4.0,2024-11-26 11:03:58.872853
