,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,BANKBARODA,2.278386061035653,242.41,4,2.0,2025-01-02 14:58:50.336693
1,GUJGASLTD,4.813233985950765,507.85,1,0.5,2025-01-02 09:44:59.664772
2,PFC,5.117825237011885,461.55,2,1.0,2025-01-02 13:15:48.496840
3,UNITDSPR,13.042831831960951,1689.3,4,2.0,2025-01-02 10:51:19.207985
4,DLF,7.526911884210525,838.2,3,1.5,2025-01-02 14:47:40.247363
5,GAIL,2.010305929210526,192.49,2,1.0,2025-01-02 14:14:30.145816
6,TATAPOWER,3.739326850594227,399.25,3,1.5,2025-01-02 14:58:50.336693
7,ATUL,70.18436217317489,6977.0,2,1.0,2025-01-02 12:31:58.759178
8,AUROPHARMA,12.581010821307302,1357.1,1,0.5,2025-01-02 14:42:27.922601
9,BSOFT,6.395499766680814,570.7,5,2.5,2025-01-02 14:18:35.158863
10,SAIL,1.3292695242105266,113.95,2,1.0,2025-01-02 12:30:18.996013
11,MFSL,10.642793059422749,1122.95,2,1.0,2025-01-02 13:48:55.525671
12,INDIANB,6.3917793578947375,532.0,4,2.0,2025-01-02 13:49:14.715019
13,OBEROIRLTY,25.31294935301359,2284.5,3,1.5,2025-01-02 13:36:30.474058
14,LICHSGFIN,5.224605200339558,606.8,1,0.5,2025-01-02 13:09:20.016616
15,APOLLOTYRE,4.677678623174871,527.45,6,3.0,2025-01-02 15:24:32.258843
16,IRFC,1.9969575793548384,152.0,5,2.5,2025-01-02 15:20:05.372601
17,SHRIRAMFIN,32.09198287016129,3069.75,5,2.5,2025-01-02 14:15:24.973252
18,BRITANNIA,33.803320372113745,4791.0,2,1.0,2025-01-02 14:17:27.839313
19,POWERGRID,2.257198508573854,317.4,3,1.5,2025-01-02 13:46:19.939824
20,AXISBANK,8.275043629286928,1089.3,2,1.0,2025-01-02 13:21:49.464306
21,ZYDUSLIFE,7.8996349894736815,993.0,2,1.0,2025-01-02 13:22:53.814803
22,GRANULES,5.875238561969439,613.35,3,1.5,2025-01-02 14:29:11.667230
23,APOLLOHOSP,51.88000980628182,7456.9,2,1.0,2025-01-02 11:17:29.304161
24,ABFRL,2.850389333022071,284.75,3,1.5,2025-01-02 14:11:43.946709
25,JKCEMENT,45.35730141561971,4760.8,3,1.5,2025-01-02 12:04:57.938279
26,NMDC,0.781358113777589,68.09,2,1.0,2025-01-02 14:00:31.880552
27,ASIANPAINT,17.690452620925296,2349.55,3,1.5,2025-01-02 14:20:20.532906
28,AMBUJACEM,5.057929982427844,554.25,3,1.5,2025-01-02 15:01:18.835457
29,SUPREMEIND,55.54533230687607,4733.85,2,1.0,2025-01-02 14:02:42.454351
30,BANKINDIA,1.1423261438200338,103.79,3,1.5,2025-01-02 13:35:53.163217
31,KPITTECH,16.549955243208824,1487.25,1,0.5,2025-01-02 10:11:26.593349
32,CUB,1.4685241314091682,176.8,2,1.0,2025-01-02 14:37:19.036031
33,HDFCBANK,12.157755544991517,1797.45,1,0.5,2025-01-02 10:12:44.683280
34,CUMMINSIND,31.962492975891344,3270.0,3,1.5,2025-01-02 14:31:25.651668
35,BHARTIARTL,11.544738251825128,1622.0,2,1.0,2025-01-02 13:06:03.193322
36,GODREJCP,9.081785263157895,1099.55,3,1.5,2025-01-02 13:04:18.858482
37,BANDHANBNK,1.812090277504244,161.74,1,0.5,2025-01-02 13:40:34.238196
38,CIPLA,11.67372889367572,1548.35,1,0.5,2025-01-02 14:45:57.441951
39,GODREJPROP,30.23593233297962,2825.0,3,1.5,2025-01-02 15:05:49.078459
40,GLENMARK,16.057329112691004,1638.0,3,1.5,2025-01-02 12:31:42.716174
41,GNFC,5.476333977079797,577.4,5,2.5,2025-01-02 15:02:43.115609
42,MARUTI,83.02125935823427,11832.65,11,5.5,2025-01-02 13:01:19.762877
43,MARICO,5.358714416001699,655.95,2,1.0,2025-01-02 11:37:13.713594
44,ASTRAL,13.94286420751273,1660.782258064516,0,0.0,2025-01-02 09:44:58.341488
45,LTIM,57.949828964346345,5796.7,3,1.5,2025-01-02 13:52:49.679321
46,ICICIGI,16.72219356583192,1836.35,2,1.0,2025-01-02 11:57:21.449071
47,INDIAMART,26.110582405942274,2319.4,2,1.0,2025-01-02 15:07:11.354750
48,MPHASIS,33.22972752461799,2898.05,1,0.5,2025-01-02 09:45:20.722788
49,M&M,28.329179026782683,3229.0,9,4.5,2025-01-02 14:05:37.664875
50,LAURUSLABS,6.70778156655348,613.45,1,0.5,2025-01-02 10:07:47.678388
51,WIPRO,3.203610009847198,303.47903225806454,0,0.0,2025-01-02 09:44:58.341488
52,VOLTAS,16.445759938370117,1828.05,6,3.0,2025-01-02 10:44:07.092835
53,LUPIN,20.878596743123936,2413.2,2,1.0,2025-01-02 14:58:50.336693
54,CESC,2.4078627852631582,189.79,3,1.5,2025-01-02 12:44:23.898162
55,CDSL,21.06755109932088,1816.75,2,1.0,2025-01-02 15:20:36.945937
56,PVRINOX,14.38111579983022,1326.35,1,0.5,2025-01-02 13:55:47.242755
57,BHEL,2.7259628421052637,233.95,3,1.5,2025-01-02 13:35:30.303776
58,ADANIENSOL,11.407780137181664,808.65,2,1.0,2025-01-02 13:47:17.781798
59,PNB,1.09906878040747,105.77,4,2.0,2025-01-02 13:37:00.349249
60,TRENT,79.46649463153649,7307.75,2,1.0,2025-01-02 13:40:06.214303
61,MRF,898.0880712631576,130058.5,4,2.0,2025-01-02 14:45:50.033620
62,COALINDIA,3.2349496623089973,392.65,2,1.0,2025-01-02 13:41:27.072912
63,ALKEM,48.07256344151102,5613.35,2,1.0,2025-01-02 11:48:59.985673
64,HUDCO,3.3151684134804755,244.53,5,2.5,2025-01-02 15:20:50.552993
65,BPCL,2.9533262945670624,296.65,1,0.5,2025-01-02 13:27:16.533937
66,TATAMOTORS,6.877231403225807,769.3,3,1.5,2025-01-02 15:16:39.281045
67,HINDCOPPER,3.027718883701188,249.42741935483872,0,0.0,2025-01-02 09:44:58.341488
68,POLYCAB,72.98452029117148,7456.45,2,1.0,2025-01-02 13:42:32.979525
69,RECLTD,6.035933970458403,519.6,4,2.0,2025-01-02 13:18:20.493374
70,MOTHERSON,1.6542357476485567,161.15,2,1.0,2025-01-02 15:24:20.491966
71,IPCALAB,16.13252600895586,1724.8,2,1.0,2025-01-02 11:59:13.473810
72,TATACHEM,11.28329027368421,1038.5,4,2.0,2025-01-02 12:17:03.433647
73,PAGEIND,378.2901569720713,48050.0,1,0.5,2025-01-02 12:07:42.845708
74,NTPC,2.697469961290322,337.65,1,0.5,2025-01-02 13:11:01.008340
75,JSWSTEEL,8.122037103989811,915.0,1,0.5,2025-01-02 12:30:50.014866
76,HAL,41.33580961774193,4254.1,1,0.5,2025-01-02 09:44:59.664772
77,PAYTM,15.270392292699494,988.0,4,2.0,2025-01-02 14:29:10.124438
78,TCS,32.94310387117997,4159.75,2,1.0,2025-01-02 14:33:41.408022
79,ESCORTS,32.07306133179117,3381.1,3,1.5,2025-01-02 13:39:30.732694
80,ICICIPRULI,6.692428893208829,666.35,1,0.5,2025-01-02 10:18:36.944554
81,HINDUNILVR,15.451639892529707,2375.55,2,1.0,2025-01-02 12:55:00.394186
82,ANGELONE,44.40748590407469,2961.3,5,2.5,2025-01-02 15:06:22.873974
83,HFCL,1.549274781859083,116.08,2,1.0,2025-01-02 14:16:40.971463
84,HCLTECH,16.551965132173173,1962.35,3,1.5,2025-01-02 14:46:37.375028
85,TVSMOTOR,21.86534743140917,2511.95,14,7.0,2025-01-02 14:48:55.788095
86,NHPC,0.9194140207130732,83.15,2,1.0,2025-01-02 13:55:19.986864
87,POONAWALLA,3.647117092232597,320.95,2,1.0,2025-01-02 13:36:56.650153
88,ADANIPORTS,12.389415360356535,1224.95,1,0.5,2025-01-02 09:44:59.664772
89,ZOMATO,3.600830353140916,282.3,1,0.5,2025-01-02 14:14:50.536782
90,JUBLFOOD,7.627033121901528,756.95,5,2.5,2025-01-02 14:08:13.248217
91,IDEA,0.1381948610356536,8.11,3,1.5,2025-01-02 13:51:58.328839
92,DELHIVERY,3.867921263327673,345.975806451613,0,0.0,2025-01-02 09:44:58.341488
93,IOC,1.1991768531663836,138.66,1,0.5,2025-01-02 13:50:20.347989
94,ATGL,11.40620944651952,724.1419354838711,0,0.0,2025-01-02 09:44:58.341488
95,BIOCON,3.56481443803056,372.25,1,0.5,2025-01-02 09:44:59.664772
96,LT,25.433103952801357,3730.8,4,2.0,2025-01-02 12:36:15.538231
97,BOSCHLTD,252.9078137258913,34800.4,4,2.0,2025-01-02 15:26:43.249244
98,NCC,3.370183887606112,279.2,3,1.5,2025-01-02 13:41:15.453983
99,PIIND,34.65348514431239,3750.0,1,0.5,2025-01-02 14:49:24.506141
100,LTTS,48.27900507173175,4817.9,1,0.5,2025-01-02 13:38:23.013758
101,ABBOTINDIA,252.7552855222411,30175.25,3,1.5,2025-01-02 15:00:07.286436
102,PERSISTENT,76.45828799320883,6511.95,1,0.5,2025-01-02 14:33:20.600709
103,UNIONBANK,1.2672053492190154,121.41,6,3.0,2025-01-02 13:34:38.048403
104,ASHOKLEY,1.9156284064770797,236.25,10,5.0,2025-01-02 15:05:11.693454
105,IGL,4.992378585526316,416.9,1,0.5,2025-01-02 09:59:56.079251
106,JSL,7.940608992996605,688.05,4,2.0,2025-01-02 15:11:48.471988
107,METROPOLIS,20.250565873726654,2046.05,4,2.0,2025-01-02 12:12:11.565725
108,BATAINDIA,10.983504993548385,1424.75,4,2.0,2025-01-02 13:55:54.389032
109,TATACOMM,16.607224841765706,1749.6,2,1.0,2025-01-02 13:02:42.229809
110,M&MFIN,2.930354045755518,274.75,3,1.5,2025-01-02 13:48:20.777759
111,PIDILITIND,23.127216234422747,2943.0,3,1.5,2025-01-02 14:46:50.597623
112,BEL,2.90126577245331,297.5,1,0.5,2025-01-02 13:41:19.831464
113,LALPATHLAB,25.82854433276741,3016.75,2,1.0,2025-01-02 14:45:41.107120
114,SYNGENE,8.127040141850593,870.55,1,0.5,2025-01-02 09:44:59.664772
115,ITC,1.2346669376061117,489.05,6,3.0,2025-01-02 15:06:46.697368
116,KALYANKJIL,9.67429525263158,794.25,4,2.0,2025-01-02 15:07:40.930617
117,BHARATFORG,11.794770143887945,1320.3,1,0.5,2025-01-02 14:07:47.857656
118,COLPAL,24.214135074066213,2776.95,3,1.5,2025-01-02 14:12:37.819722
119,ICICIBANK,9.013821113327674,1291.4806451612903,0,0.0,2025-01-02 09:44:58.341488
120,CROMPTON,3.654246815067912,373.2,7,3.5,2025-01-02 11:37:09.368268
121,UBL,16.528902104414264,2115.0,4,2.0,2025-01-02 11:22:33.721521
122,NAUKRI,82.03823131332767,8952.05,5,2.5,2025-01-02 15:22:32.295718
123,BERGEPAINT,3.7289442137945663,458.9,2,1.0,2025-01-02 13:02:26.035918
124,APLAPOLLO,18.687966376994904,1598.85,1,0.5,2025-01-02 10:53:17.869179
125,SUNTV,5.991250339219016,695.7,2,1.0,2025-01-02 14:22:10.791257
126,CANBK,0.9976858022241084,101.85,3,1.5,2025-01-02 13:37:03.201295
127,HINDPETRO,4.595980634974533,412.55,4,2.0,2025-01-02 12:37:56.765027
128,SIEMENS,67.83647113752123,6721.2,2,1.0,2025-01-02 14:13:47.732519
129,ADANIGREEN,19.194759374023764,1043.059677419355,0,0.0,2025-01-02 09:44:58.341488
130,CYIENT,23.11561253616298,1802.0,2,1.0,2025-01-02 10:54:14.917666
131,BAJAJFINSV,11.929355207724957,1703.75,12,6.0,2025-01-02 13:42:57.758562
132,VBL,6.106352921052633,654.4,6,3.0,2025-01-02 12:59:30.540014
133,DALBHARAT,18.00987324957555,1831.25,3,1.5,2025-01-02 13:44:02.189565
134,HINDALCO,5.307818704584041,602.1,5,2.5,2025-01-02 13:57:53.459050
135,CANFINHOME,7.539557067487266,734.2,6,3.0,2025-01-02 14:58:54.789861
136,CHOLAFIN,12.707582912054328,1280.6,7,3.5,2025-01-02 14:58:50.336693
137,COFORGE,109.78698262309,9773.0,1,0.5,2025-01-02 09:53:49.582207
138,INDIGO,38.77473028650255,4586.817741935483,0,0.0,2025-01-02 09:44:58.341488
139,DIXON,228.2799755992784,18288.0,1,0.5,2025-01-02 10:14:01.325644
140,IRB,0.7294297107809848,60.3,4,2.0,2025-01-02 13:56:32.069453
141,NYKAA,1.886469854363327,165.41,1,0.5,2025-01-02 14:04:27.087026
142,LTF,1.4433968505942272,139.99,4,2.0,2025-01-02 13:01:40.387989
143,DIVISLAB,47.37415494320882,6185.5,3,1.5,2025-01-02 15:10:12.172408
144,ACC,18.14400241256367,2086.3,1,0.5,2025-01-02 12:09:47.772027
145,IEX,1.955489301850594,182.5,4,2.0,2025-01-02 15:12:19.556190
146,ABB,67.92528889702888,6943.6,2,1.0,2025-01-02 15:11:57.478438
147,KEI,51.94381739770798,4476.05,2,1.0,2025-01-02 11:30:21.605212
148,ULTRACEMCO,88.89197682224109,11849.95,4,2.0,2025-01-02 13:07:54.041639
149,TIINDIA,43.2197300933786,3683.3,2,1.0,2025-01-02 11:49:20.594126
150,TORNTPHARM,29.358157210611207,3442.0,2,1.0,2025-01-02 14:58:50.336693
151,GRASIM,18.12165606595925,2558.25,5,2.5,2025-01-02 13:14:03.268979
152,ADANIENT,29.09336567741935,2605.45,2,1.0,2025-01-02 14:46:16.312301
153,AARTIIND,3.735942187775891,417.2,3,1.5,2025-01-02 14:59:01.960994
154,OFSS,161.50473937589132,12667.187096774194,0,0.0,2025-01-02 09:44:58.341488
155,INDHOTEL,7.93942344524618,888.7,3,1.5,2025-01-02 13:51:18.862839
156,IRCTC,6.554380668505944,799.3,1,0.5,2025-01-02 14:13:49.182294
157,PEL,12.486321011375212,1125.6,1,0.5,2025-01-02 13:04:02.495782
158,INFY,16.922114046561965,1970.25,5,2.5,2025-01-02 15:00:34.639329
159,CONCOR,7.009892404456708,791.0,2,1.0,2025-01-02 13:42:55.590904
160,EICHERMOT,37.78399365025467,5313.0,11,5.5,2025-01-02 13:55:04.287937
161,SUNPHARMA,11.802548303225803,1884.8,1,0.5,2025-01-02 09:44:59.664772
162,HDFCAMC,41.687797428183366,4278.0,3,1.5,2025-01-02 13:15:07.444803
163,INDUSTOWER,3.557483200169779,346.9,1,0.5,2025-01-02 10:07:55.094502
164,ABCAPITAL,1.7130002588370112,185.4,4,2.0,2025-01-02 13:16:59.218744
165,DEEPAKNTR,23.039267635738543,2512.3,2,1.0,2025-01-02 12:13:35.282454
166,TATACONSUM,7.219029484210525,933.45,2,1.0,2025-01-02 14:48:33.771538
167,KOTAKBANK,12.86168415,1838.05,3,1.5,2025-01-02 10:37:16.987364
168,DRREDDY,11.302325158573852,1382.0,1,0.5,2025-01-02 09:46:04.713436
169,RELIANCE,8.590541711375211,1250.95,3,1.5,2025-01-02 14:58:50.336693
170,BAJAJ-AUTO,81.78031343696944,9118.75,5,2.5,2025-01-02 14:02:39.726913
171,NIFTY,120.10135993709676,24189.05,3,1.5,2025-01-02 13:08:58.940548
172,MANAPPURAM,2.425844617368421,193.5,2,1.0,2025-01-02 09:44:59.664772
173,BAJFINANCE,57.842067612903215,7423.95,9,4.5,2025-01-02 13:58:15.654746
174,NATIONALUM,2.575078185390492,215.82,3,1.5,2025-01-02 13:08:55.969702
