,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
0,BANKBARODA,3.12957842491511,1.1177065803268251,224.15,222.76,1,6,0.5,2025-01-29 10:04:34.337804,2025-01-29 13:52:41.641782
1,GUJGASLTD,5.956398552631579,2.1272851973684213,469.0,471.35,4,18,2.0,2025-01-29 13:51:55.433450,2025-01-29 14:04:58.479199
2,PFC,7.005788073896434,2.5020671692487264,396.8,400.0,3,12,1.5,2025-01-29 13:14:24.208161,2025-01-29 15:13:31.670273
3,UNITDSPR,15.39485003463497,5.498160726655347,1414.95,1422.65,3,8,1.5,2025-01-29 13:43:30.490115,2025-01-29 14:16:01.522609
4,DLF,10.652804845670628,3.804573159168081,738.3,743.65,3,13,1.5,2025-01-29 10:25:29.994753,2025-01-29 13:55:39.200480
5,GAIL,2.509073462962648,0.896097665343803,166.21,165.47,1,13,0.5,2025-01-29 09:42:00.319980,2025-01-29 13:56:43.984960
6,TATAPOWER,5.026041263157893,1.7950147368421048,351.45,350.0,2,8,1.0,2025-01-29 09:53:17.755593,2025-01-29 11:31:11.449626
7,ATUL,80.89948174736841,28.89267205263158,6292.0,6259.7,3,16,1.5,2025-01-29 10:43:35.218089,2025-01-29 12:43:06.002077
8,AUROPHARMA,16.587048356112057,5.923945841468592,1154.9,1152.5,3,15,1.5,2025-01-29 13:20:58.579104,2025-01-29 15:18:45.412330
9,BSOFT,8.53753113327674,3.0491182618845505,536.8,533.65,2,13,1.0,2025-01-29 13:59:12.715201,2025-01-29 15:12:29.943429
10,SAIL,1.7721894351273342,0.6329247982597622,103.44967741935486,104.08,0,5,0.0,2025-01-29 09:11:48.318825,2025-01-29 13:22:27.058634
11,MFSL,9999999.0,2499999.75,1030.2274193548387,1030.2274193548387,0,0,0.0,2025-01-29 09:11:48.318825,2025-01-29 09:11:48.318825
12,INDIANB,8.079503535229199,2.8855369768675714,550.0,545.0,9,60,4.5,2025-01-29 14:14:56.740275,2025-01-29 14:46:50.698179
