,symbol,long_move_val,full_move,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track,long_move_val_track
0,BANKBARODA,2.437492390195246,3.4821319859932087,217.53,217.31,3,31,1.5,2025-02-07 10:17:37.503626,2025-02-07 15:06:34.987827,0.8705329964983022
1,GUJGASLTD,4.9625611273344665,7.089373039049238,460.6,460.75,6,26,3.0,2025-02-07 14:13:23.779351,2025-02-07 15:12:14.046341,1.7723432597623094
2,PFC,6.402665443548387,9.14666491935484,412.05,410.0,3,41,1.5,2025-02-07 13:46:04.709301,2025-02-07 14:53:55.108235,2.28666622983871
3,UNITDSPR,14.488749267275038,20.698213238964343,1422.6,1428.9,2,18,1.0,2025-02-07 11:10:36.693909,2025-02-07 14:37:59.540326,5.174553309741086
4,DLF,8.839264209465197,12.627520299235997,756.2,759.2,7,22,3.5,2025-02-07 14:11:04.490026,2025-02-07 15:00:10.761529,3.156880074808999
5,GAIL,1.8681296872665536,2.668756696095077,170.92,171.44,6,23,3.0,2025-02-07 14:09:44.307381,2025-02-07 15:12:57.427483,0.6671891740237692
6,TATAPOWER,3.959487976018676,5.656411394312395,370.0,369.0,5,26,2.5,2025-02-07 12:11:40.089323,2025-02-07 15:10:14.733452,1.4141028485780986
7,ATUL,65.51622833314939,93.59461190449912,6133.65,6111.0,3,17,1.5,2025-02-07 13:53:50.553417,2025-02-07 15:07:59.387171,23.39865297612478
8,AUROPHARMA,15.362619999999996,21.9466,1198.35,1195.0,6,42,3.0,2025-02-07 14:13:04.666501,2025-02-07 14:33:59.941914,5.48665
9,BSOFT,7.939237664473685,11.341768092105266,531.4,535.4,2,7,1.0,2025-02-07 10:40:58.890721,2025-02-07 15:09:07.543487,2.8354420230263164
10,SAIL,1.6491049616298807,2.35586423089983,111.06,110.86,4,24,2.0,2025-02-07 11:18:20.784708,2025-02-07 15:08:18.397466,0.5889660577249575
11,MFSL,13.071299206748725,18.67328458106961,1112.3258064516128,1114.0,0,11,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:04:33.030754,4.668321145267402
12,INDIANB,7.734816832937181,11.049738332767404,548.4403225806452,545.55,0,22,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:01:52.653388,2.762434583191851
13,OBEROIRLTY,22.890907592190157,32.70129656027165,1819.55,1807.35,1,28,0.5,2025-02-07 10:57:18.220504,2025-02-07 14:37:17.117878,8.175324140067913
14,LICHSGFIN,6.293792670967742,8.991132387096775,577.1,579.7,8,33,4.0,2025-02-07 14:44:23.984583,2025-02-07 15:02:09.392270,2.2477830967741936
15,APOLLOTYRE,5.593240887351441,7.990344124787773,426.15,426.65,4,28,2.0,2025-02-07 12:34:40.051335,2025-02-07 14:55:27.775116,1.9975860311969433
16,IRFC,1.9267568526315788,2.752509789473684,130.1,129.24,2,15,1.0,2025-02-07 12:14:34.844501,2025-02-07 14:59:56.751521,0.688127447368421
17,POWERGRID,2.7803142473259763,3.971877496179967,277.4,278.85,7,45,3.5,2025-02-07 14:45:38.694141,2025-02-07 15:00:10.761529,0.9929693740449917
18,BRITANNIA,54.70165395483871,78.14521993548388,4866.3,4887.9,4,40,2.0,2025-02-07 13:12:44.149850,2025-02-07 15:09:40.192449,19.53630498387097
19,AXISBANK,7.343587285441426,10.49083897920204,1025.25,1024.55,4,30,2.0,2025-02-07 11:44:57.389881,2025-02-07 15:25:59.917342,2.62270974480051
20,SHRIRAMFIN,7.525424315577248,10.750606165110357,560.9,562.0,5,27,2.5,2025-02-07 12:52:13.192619,2025-02-07 15:15:35.036008,2.687651541277589
21,ZYDUSLIFE,9.743021960950763,13.918602801358231,993.55,997.65,2,23,1.0,2025-02-07 14:27:11.667081,2025-02-07 14:37:00.441992,3.479650700339558
22,GRANULES,8.040082115959253,11.485831594227506,580.15,583.45,4,15,2.0,2025-02-07 14:08:46.977488,2025-02-07 14:52:31.643404,2.8714578985568764
23,APOLLOHOSP,77.8104494958404,111.15778499405772,6812.05,6816.95,1,17,0.5,2025-02-07 12:12:45.990844,2025-02-07 15:15:18.795406,27.78944624851443
24,ABFRL,3.778132026825128,5.39733146689304,275.7,277.0,3,16,1.5,2025-02-07 14:17:23.842577,2025-02-07 15:10:53.683115,1.34933286672326
25,JKCEMENT,55.00524161714771,78.5789165959253,4882.0,4885.0,2,20,1.0,2025-02-07 14:10:29.310586,2025-02-07 14:52:23.673686,19.644729148981327
26,NMDC,0.8628282856706284,1.2326118366723264,67.02,66.93,2,25,1.0,2025-02-07 11:02:15.101091,2025-02-07 15:15:45.319557,0.3081529591680816
27,ASIANPAINT,17.73889996112054,25.341285658743637,2275.55,2280.0,2,15,1.0,2025-02-07 11:31:25.775095,2025-02-07 15:16:36.793105,6.335321414685909
28,AMBUJACEM,5.224052952037352,7.462932788624789,516.2,514.35,4,27,2.0,2025-02-07 14:06:24.134368,2025-02-07 15:00:22.245604,1.8657331971561972
29,SUPREMEIND,59.490177507894735,84.98596786842106,4041.0,4039.65,1,5,0.5,2025-02-07 15:12:41.704457,2025-02-07 15:12:11.514956,21.246491967105264
30,BANKINDIA,1.3864666003904922,1.9806665719864172,106.6,106.85,3,22,1.5,2025-02-07 12:26:07.055531,2025-02-07 15:12:11.514956,0.4951666429966043
31,KPITTECH,19.646456492359928,28.066366417657044,1456.35,1451.0,1,8,0.5,2025-02-07 11:27:13.247806,2025-02-07 15:09:56.120800,7.016591604414261
32,CUB,2.083360733667232,2.976229619524618,173.56258064516132,174.17,0,18,0.0,2025-02-07 09:10:10.294467,2025-02-07 14:39:01.065268,0.7440574048811545
33,HDFCBANK,10.584471056027162,15.12067293718166,1737.75,1734.55,3,25,1.5,2025-02-07 12:37:47.535461,2025-02-07 14:36:57.290558,3.780168234295415
34,CUMMINSIND,38.26432280500849,54.66331829286928,2836.45,2869.6,5,35,2.5,2025-02-07 14:13:06.964555,2025-02-07 14:53:28.411323,13.66582957321732
35,BHARTIARTL,14.65630216604414,20.9375745229202,1680.6,1682.95,6,35,3.0,2025-02-07 13:53:34.475951,2025-02-07 15:18:39.403052,5.23439363073005
36,GODREJCP,9.624550288624787,13.749357555178268,1112.35,1110.65,3,17,1.5,2025-02-07 11:09:36.378216,2025-02-07 14:14:45.885156,3.437339388794567
37,BANDHANBNK,1.9186902962648555,2.7409861375212223,153.11,153.23,2,24,1.0,2025-02-07 12:11:24.739906,2025-02-07 15:13:11.698862,0.6852465343803056
38,CIPLA,11.905768017826825,17.008240025466893,1474.15,1474.6,2,16,1.0,2025-02-07 11:06:54.990667,2025-02-07 15:00:10.761529,4.252060006366723
39,GMRAIRPORT,0.8819956889983022,1.259993841426146,75.13,75.13,4,20,2.0,2025-02-07 15:25:05.291332,2025-02-07 15:25:05.291332,0.3149984603565365
40,GODREJPROP,30.211048368421043,43.15864052631578,2197.2,2204.65,4,37,2.0,2025-02-07 14:44:42.877854,2025-02-07 14:13:04.666501,10.789660131578945
41,GLENMARK,20.738103081494057,29.625861544991512,1547.1,1547.7,2,24,1.0,2025-02-07 11:03:51.001768,2025-02-07 15:16:26.086855,7.406465386247878
42,ASTRAL,15.785875180050931,22.55125025721562,1481.5,1479.45,2,21,1.0,2025-02-07 11:05:02.826026,2025-02-07 15:10:14.733452,5.637812564303905
43,GNFC,7.678664778438031,10.96952111205433,577.8,579.35,2,17,1.0,2025-02-07 11:10:36.693909,2025-02-07 14:52:09.385043,2.7423802780135826
44,MARICO,6.05936019779287,8.656228853989814,652.3,650.6,1,14,0.5,2025-02-07 09:24:01.733188,2025-02-07 15:06:32.643909,2.1640572134974536
45,MARUTI,84.01817322648559,120.02596175212229,13126.067741935482,13108.05,0,11,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:09:42.284288,30.00649043803057
46,LTIM,63.60057322173175,90.85796174533108,5959.520967741935,5986.0,0,11,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:16:26.086855,22.71449043633277
47,INDIAMART,24.522691877419355,35.03241696774194,2158.25,2165.7,3,16,1.5,2025-02-07 12:28:10.828780,2025-02-07 14:51:29.825969,8.758104241935484
48,ICICIGI,16.704346941044147,23.86335277292021,1835.9,1836.0,2,20,1.0,2025-02-07 10:18:18.778675,2025-02-07 15:08:59.776151,5.965838193230052
49,MPHASIS,32.59681199490662,46.56687427843804,2872.45,2875.0,1,9,0.5,2025-02-07 10:39:15.080956,2025-02-07 14:39:18.292095,11.64171856960951
50,M&M,35.89088177024619,51.27268824320884,3191.95,3206.1,7,52,3.5,2025-02-07 14:53:14.965764,2025-02-07 15:10:31.039680,12.81817206080221
51,LAURUSLABS,8.087389295797962,11.553413279711377,638.6,641.5,2,9,1.0,2025-02-07 14:16:53.709214,2025-02-07 14:37:22.448954,2.888353319927844
52,WIPRO,3.041102991850594,4.344432845500849,318.55,317.95,2,13,1.0,2025-02-07 10:39:45.311336,2025-02-07 15:04:00.850276,1.0861082113752123
53,LUPIN,28.437608297368424,40.62515471052632,2193.2,2215.0,2,16,1.0,2025-02-07 14:27:40.989393,2025-02-07 15:14:03.062777,10.15628867763158
54,VOLTAS,16.815434245331073,24.022048921901536,1389.5,1382.85,4,36,2.0,2025-02-07 13:32:29.180944,2025-02-07 14:39:03.696317,6.005512230475384
55,CDSL,18.529082766383706,26.470118237691008,1324.25,1332.7,2,19,1.0,2025-02-07 13:53:59.653413,2025-02-07 15:09:58.517011,6.617529559422752
56,PVRINOX,14.79851971375212,21.14074244821732,1087.9,1094.8,16,81,8.0,2025-02-07 12:03:25.488418,2025-02-07 15:09:53.570324,5.28518561205433
57,BHEL,2.939853171850595,4.19979024550085,202.7,203.29,1,30,0.5,2025-02-07 14:12:37.007511,2025-02-07 15:23:46.952270,1.0499475613752125
58,ADANIENSOL,11.73200450394737,16.76000643421053,777.8,779.4,4,20,2.0,2025-02-07 15:13:52.339391,2025-02-07 15:15:35.036008,4.190001608552633
59,PNB,1.2124063246604415,1.732009035229202,99.99,99.72,2,21,1.0,2025-02-07 10:55:18.469598,2025-02-07 15:15:18.795406,0.4330022588073005
60,TRENT,92.99592359503391,132.85131942147706,5491.2,5477.7,4,19,2.0,2025-02-07 11:19:06.162658,2025-02-07 13:53:31.746798,33.212829855369264
61,MRF,1121.27447296528,1601.820675664686,113200.0,113174.2,7,39,3.5,2025-02-07 12:25:37.821579,2025-02-07 14:37:37.223499,400.4551689161715
62,COALINDIA,3.3667929996604413,4.809704285229202,380.3,380.2,2,18,1.0,2025-02-07 13:53:34.475951,2025-02-07 15:12:49.872458,1.2024260713073005
63,ALKEM,70.82913273769101,101.1844753395586,5149.8,5128.85,5,57,2.5,2025-02-07 14:44:03.984978,2025-02-07 14:39:44.076364,25.29611883488965
64,HUDCO,3.2890875251612903,4.6986964645161295,206.7,207.28,4,27,2.0,2025-02-07 14:08:14.335835,2025-02-07 15:05:22.305719,1.1746741161290324
65,BPCL,2.6881194551782674,3.840170650254668,263.7,265.0,2,19,1.0,2025-02-07 10:54:50.542798,2025-02-07 15:15:58.915396,0.960042662563667
66,TATAMOTORS,7.762247066511035,11.08892438073005,713.2483870967742,710.4,0,15,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:09:53.570324,2.7722310951825127
67,HINDCOPPER,4.284082970560272,6.120118529371817,245.98,244.83,1,16,0.5,2025-02-07 11:31:10.296017,2025-02-07 15:09:26.675098,1.5300296323429543
68,SOLARINDS,155.3832541935484,221.97607741935488,9118.95,9141.0,4,23,2.0,2025-02-07 11:02:57.557839,2025-02-07 14:51:52.772948,55.49401935483872
69,POLYCAB,75.04433024634973,107.2061860662139,5882.05,5883.1,2,18,1.0,2025-02-07 13:53:57.245111,2025-02-07 13:53:37.074347,26.801546516553476
70,RECLTD,6.82853196646859,9.7550456663837,438.5,438.8,7,49,3.5,2025-02-07 13:49:42.200262,2025-02-07 15:08:42.358892,2.438761416595925
