,symbol,date,average_iv,std_iv,coeff_of_var,bench_mark_iv,avg_full_move,avg_short_move,avg_long_move,highest_iv,lowest_iv,avg_normal_iv,higest_normal_iv,lowest_normal_iv,stddev_normal_iv,highest_normal_fut_close,lowest_normal_fut_close,avg_normal_fut_close,full_move,long_move,fut_close
0,AARTIIND,2025-02-27,29.222310516242885,4.770967218567869,6.125028569157665,34.625483870967734,1.625,13.125,3.125,68.709,7.614,28.723501707246605,38.7625,19.745,3.8978427927373653,638.7,392.0,483.3636664415936,7.480926910016977,5.2366488370118836,411.09516129032255
2,ABB,2025-02-27,30.79091253231259,5.104468018025694,6.032149172759809,43.719177419354835,1.0,11.875,1.75,52.9135,22.129,29.698940288484785,40.997,22.129,3.4090892071263954,8950.0,5106.25,7171.332559081702,118.08779921901527,82.66145945331068,5151.038709677418
1,ABBOTINDIA,2025-02-27,23.982650701256997,2.668078198428091,8.98873605555732,24.897483870967747,1.75,14.875,3.125,37.343,15.055,23.858387103989052,29.303999999999995,18.647,2.3279755426678115,30740.0,25587.25,28633.554777500165,382.849919877759,267.9949439144313,29231.28225806451
3,ABCAPITAL,2025-02-27,30.130468198371354,3.4488396228132276,8.73640745689237,33.33638709677419,1.875,16.875,3.125,44.157,22.049,29.765878910218703,37.0145,23.2345,2.9293485181643595,245.5,149.09,198.14742718883636,2.6976155348047537,1.8883308743633274,154.08225806451614
4,ABFRL,2025-02-27,31.093042304633133,4.996718432408849,6.2226924981329415,36.80004838709678,1.875,20.0,2.875,71.41999999999999,5.083,31.133186473492724,41.076,21.107,4.403090770463929,367.25,240.8,302.4687587215845,4.8498590084889655,3.3949013059422755,251.04999999999998
5,ACC,2025-02-27,26.247819229420315,3.771166400401406,6.960132872054247,30.244758064516127,1.125,16.125,3.25,51.179,16.6935,25.789389553334907,33.79,18.707,3.054090512758747,2563.35,1822.75,2211.0429000675217,29.919228957979627,20.94346027058574,1879.440322580645
6,ADANIENSOL,2025-02-27,56.45195846967325,10.02566876236636,5.6307424280341865,50.21601612903224,1.375,13.375,2.5,84.5775,33.447,56.59689318371733,73.03900000000002,36.402,9.903556805695791,858.2,710.8,787.018744080756,17.912581542869265,12.538807080008485,679.3903225806451
7,ADANIENT,2025-02-27,34.20528187784959,9.24400697265053,3.700265694200567,36.08282258064516,1.75,14.875,3.0,122.30700000000002,19.559,32.45703901076985,52.6125,19.559,5.887998951345945,3226.65,2082.35,2675.735329732163,42.03269011460102,29.42288308022071,2219.562903225806
8,ADANIGREEN,2025-02-27,57.52841760326267,5.251654273173204,10.954342119802623,48.247354838709676,1.375,16.25,2.625,83.66600000000001,42.104,57.84514650392634,67.98349999999999,47.0275,4.419507698261862,1426.0,825.0,1123.834908845375,22.21155856706282,15.548090996943973,876.2483870967741
9,ADANIPORTS,2025-02-27,30.112459792574775,7.263081978949722,4.145961711550059,32.34904838709677,1.625,15.625,3.25,76.979,18.475,28.750534243479652,44.515,18.475,4.682938150761332,1503.75,1022.3,1278.7920234076078,18.437254999151104,12.906078499405773,1084.65
10,ALKEM,2025-02-27,26.79269074654798,3.173392686367104,8.442916901412607,27.073322580645158,1.0,13.625,1.875,40.544,17.199,26.28407597549787,33.1265,20.492,2.5120882729039162,6448.2,4547.45,5651.469287643485,67.44320882767401,47.21024617937181,4738.511290322582
11,AMBUJACEM,2025-02-27,27.364114584899042,4.564475253860029,5.9950187180351335,31.459548387096774,1.125,13.125,2.5,87.868,16.974,26.833358758888174,36.493,18.3665,3.2991424844301522,647.3,457.8,563.6352205716857,8.057783801358234,5.640448660950764,486.7274193548387
12,ANGELONE,2025-02-27,47.79874992886612,7.381667097705767,6.475332644535277,47.32506451612903,1.375,16.0,2.125,59.8265,15.188,48.83948354329532,59.8265,33.051,5.776544895590946,3512.3,2086.1,2807.2870087778533,54.87216691001698,38.41051683701188,2211.4161290322577
13,APLAPOLLO,2025-02-27,38.682718558827716,7.727504172907198,5.005848938192773,37.2426935483871,1.125,13.125,2.0,45.355,19.177,39.042682477773205,45.355,23.233,7.408259629249927,1648.4,1316.05,1503.5066007914131,25.88465208701189,18.11925646090832,1324.883870967742
14,APOLLOHOSP,2025-02-27,21.907003454875355,2.967531388640237,7.382231419265102,20.468983870967737,1.5,15.75,3.0,37.567,14.0415,21.493674936068125,27.842,15.972,2.422090151696763,7559.1,6273.5,7026.251379967772,68.58617837691,48.010324863837,6375.091935483872
15,APOLLOTYRE,2025-02-27,28.223490706084668,4.024624541709534,7.01270153615279,27.853870967741937,1.125,14.875,2.875,45.229,19.455,27.457155740590306,36.271,20.419,2.848139898447173,556.8,400.0,489.4033896016206,6.0545519524618,4.2381863667232595,413.916129032258
16,ASHOKLEY,2025-02-27,26.87627312835554,4.306479299627179,6.240892213433437,29.963709677419352,2.25,19.875,4.0,43.025000000000006,18.3505,25.970797397970205,35.489000000000004,18.3505,3.1119791822936707,254.8,194.65,223.59991807337383,3.4912452886247873,2.443871702037351,221.62645161290322
17,ASIANPAINT,2025-02-27,21.333700573676037,2.3993168331013326,8.891572917487647,20.028209677419348,0.875,10.875,1.5,30.78,12.5885,20.998159648644968,26.131,16.537000000000003,1.6470360208929062,3393.5,2195.5,2671.5863335584067,23.583216895161282,16.508251826612895,2240.1629032258065
18,ASTRAL,2025-02-27,25.435527564437155,3.087398535784049,8.238498292212789,28.93295161290322,1.75,15.75,2.875,39.285,18.17,25.26610460267103,31.607000000000003,19.2615,2.794111287522178,2049.05,1311.9,1741.8560994823317,20.770813684210523,14.539569578947365,1365.1725806451616
19,ATGL,2025-02-27,52.68065778678805,7.19226718930802,7.324624683730159,43.77014516129032,0.625,12.25,1.75,79.723,36.203,52.82072123258151,66.1135,38.299,7.065805298807647,864.65,556.15,734.0975061895116,13.27272059719864,9.290904418039048,577.9580645161291
20,ATUL,2025-02-27,28.64500493511699,2.963271715083836,9.66668186022441,30.404725806451612,1.5,12.5,3.0,40.288,19.625,28.462364571566887,34.57,22.728,2.498649827514862,8218.0,5292.1,7251.751566544374,86.25340636672325,60.377384456706274,5400.016129032257
21,AUBANK,2025-02-27,28.820611829249962,3.430545039002525,8.401175761164158,35.166532258064514,1.125,10.625,1.75,45.023500000000006,20.095,28.570375185310414,35.6815,21.969,3.136754032192393,752.1,500.75,620.9813189286518,9.366328236417656,6.556429765492359,504.01612903225805
22,AUROPHARMA,2025-02-27,27.35593194799339,3.9178276686672278,6.982423491153548,32.17946774193549,1.5,13.625,2.75,42.942,19.6415,26.6382843627897,35.191,19.6415,2.8601417900665806,1593.55,1113.75,1334.1054096331306,19.676897696095082,13.773828387266557,1164.3483870967743
23,AXISBANK,2025-02-27,21.36764286787915,2.3015017016532218,9.284217714255993,20.236887096774197,0.875,10.625,2.125,29.598000000000003,14.096999999999998,21.024404689803028,25.9705,16.765,1.8344500168693014,1291.0,941.6,1125.1280227323882,10.597205693123941,7.418043985186758,995.2241935483871
24,BAJAJ-AUTO,2025-02-27,25.587689713913523,2.5735881746522637,9.942418124986474,22.433806451612902,1.0,9.5,1.5,37.805,19.009,25.161095749482296,30.733,20.463,1.8965351496569716,12837.15,8355.05,9876.693074499213,99.89006540577249,69.92304578404074,8463.66451612903
25,BAJAJFINSV,2025-02-27,23.29321137081016,2.0161043359358035,11.553574363996535,23.025467741935483,1.5,12.75,2.75,29.7805,14.333000000000002,23.312213383605346,27.3245,19.262,1.7308738670612753,2035.6,1566.75,1754.2288858879137,22.973963406196944,16.08177438433786,1896.9435483870966
26,BAJFINANCE,2025-02-27,24.20948573325317,2.0498948023929002,11.810111282292512,24.11172580645161,0.875,11.375,2.0,32.847500000000004,16.682000000000002,24.064363660247487,28.304,20.1135,1.5762638023396471,8673.8,6498.5,7295.180303848751,107.25974321179964,75.08182024825975,8459.0
27,BALKRISIND,2025-02-27,27.370983980245196,3.110971963815622,8.79820978736001,28.849935483870965,0.875,12.0,1.75,43.034,18.4185,26.94471832245843,33.592,21.151,2.513349482423771,3149.0,2554.8,2858.8067161827594,40.248696835314085,28.17408778471986,2648.269354838709
28,BANDHANBNK,2025-02-27,32.237320820181374,12.933652091918797,2.4925149208493007,35.660209677419346,1.375,14.25,2.75,173.932,11.295,31.220613422361346,53.662,11.295,5.11743721035944,216.88,128.21,173.89159374296645,2.44891797826825,1.7142425847877751,130.36645161290323
