symbol,ATR_pct,ATR
AARTIIND,3.774045828,15.80192988
ABBOTINDIA,,788.2739514
ABB,4.350511577,224.432016
ABCAPITAL,3.597126264,5.629142891
ABFRL,4.179755058,10.58522968
ACC,3.111314958,58.51450041
ADANIENSOL,4.577490493,30.93468075
ADANIENT,3.887064225,85.28801969
ADANIGREEN,4.961243389,41.79847555
ADANIPORTS,3.50864476,38.23019331
ALKEM,2.768600015,131.5749471
AMBUJACEM,3.372441265,16.26528422
ANGELONE,5.420918163,121.0463921
APLAPOLLO,3.804158439,52.86258567
APOLLOHOSP,2.331313186,150.4244864
APOLLOTYRE,3.026011891,12.4429609
ASHOKLEY,3.367544733,7.528146251
ASIANPAINT,2.057371032,46.38754467
ASTRAL,3.109341664,42.90580562
ATGL,4.491493145,25.04905727
ATUL,,172.0669441
AUBANK,3.806077152,19.6736128
AUROPHARMA,3.905841615,44.58908788
AXISBANK,1.882424082,19.12166382
BAJAJ-AUTO,2.078790287,177.2584478
BAJAJFINSV,2.497605982,47.16104495
BAJFINANCE,2.342213736,198.4229789
BALKRISIND,2.840086695,76.29608898
BANDHANBNK,3.556716427,4.771335087
BANKBARODA,2.933818928,6.163073423
BANKINDIA,3.771125763,3.776405339
BANKNIFTY,1.369694434,683.4494438
BATAINDIA,,38.64344187
BEL,4.078395827,10.36524299
BERGEPAINT,2.511580642,12.25023458
BHARATFORG,3.272061941,35.37262561
BHARTIARTL,1.956623788,32.42516941
BHEL,4.606485052,9.040226915
BIOCON,4.018128511,13.60940127
BOSCHLTD,2.464735472,677.17005
BPCL,2.85659723,7.327171894
BRITANNIA,2.084711028,101.2033392
BSE,4.538875686,252.8857283
BSOFT,3.325715587,15.7555776
CAMS,5.20695987,176.5680092
CANBK,3.240335964,2.794465736
CANFINHOME,,19.33729157
CDSL,4.67612573,56.09012813
CESC,4.05066564,5.363891441
CGPOWER,4.76198877,28.09573374
CHAMBLFERT,3.554301673,18.97997093
CHOLAFIN,3.249428353,45.00945683
CIPLA,2.231384523,32.85825279
COALINDIA,2.724999061,9.917634083
COFORGE,3.442159438,269.1717048
COLPAL,2.645213184,65.47696194
CONCOR,3.597783337,25.11432658
COROMANDEL,,60.28307416
CROMPTON,3.08499998,10.25299743
CUB,,5.46394223
CUMMINSIND,3.583772637,97.23312731
CYIENT,3.993424907,59.19054397
DABUR,1.998365218,10.15769041
DALBHARAT,2.963853265,52.69582912
DEEPAKNTR,4.263802868,81.86714696
DELHIVERY,4.536108613,12.27924602
DIVISLAB,2.982882465,178.3196967
DIXON,4.583265197,645.7568584
DLF,3.543560405,24.63483194
DMART,2.800785217,104.1584014
DRREDDY,2.390574381,27.59200951
EICHERMOT,2.617217743,126.4390978
ESCORTS,3.482490496,106.080143
EXIDEIND,3.308125355,12.12427943
FEDERALBNK,2.596821741,4.734265717
FINNIFTY,1.389279047,328.1143682
GAIL,3.246588864,5.342261976
GLENMARK,3.690178319,50.86541795
GMRAIRPORT,3.246858731,2.296178495
GNFC,,20.13023866
