,ticker,symbol,strike_price,expiry_date,option_type,open interest,time
0,AARTIIND340PE,AARTIIND,340,2025-03-27,PE,27000,2025-02-18 15:29:00
1,AARTIIND350PE,AARTIIND,350,2025-03-27,PE,46000,2025-02-18 15:11:00
6,AARTIIND370PE,AARTIIND,370,2025-03-27,PE,36000,2025-02-18 15:24:00
8,AARTIIND375PE,AARTIIND,375,2025-03-27,PE,0,2025-02-18 14:51:00
11,AARTIIND380PE,AARTIIND,380,2025-03-27,PE,67000,2025-02-18 15:27:00
15,AARTIIND390PE,AARTIIND,390,2025-03-27,PE,17000,2025-02-18 12:40:00
19,AARTIIND400CE,AARTIIND,400,2025-03-27,CE,22000,2025-02-18 15:08:00
20,AARTIIND400PE,AARTIIND,400,2025-03-27,PE,76000,2025-02-18 15:30:00
25,AARTIIND410PE,AARTIIND,410,2025-03-27,PE,29000,2025-02-18 15:20:00
28,AARTIIND415CE,AARTIIND,415,2025-03-27,CE,1000,2025-02-18 10:12:00
31,AARTIIND420CE,AARTIIND,420,2025-03-27,CE,111000,2025-02-18 14:53:00
32,AARTIIND420PE,AARTIIND,420,2025-03-27,PE,102000,2025-02-18 15:24:00
37,AARTIIND430CE,AARTIIND,430,2025-03-27,CE,95000,2025-02-18 15:04:00
38,AARTIIND430PE,AARTIIND,430,2025-03-27,PE,1000,2025-02-18 12:53:00
42,AARTIIND440CE,AARTIIND,440,2025-03-27,CE,4000,2025-02-18 12:48:00
43,AARTIIND440PE,AARTIIND,440,2025-03-27,PE,11000,2025-02-18 09:37:00
48,AARTIIND450CE,AARTIIND,450,2025-03-27,CE,122000,2025-02-18 15:23:00
49,AARTIIND450PE,AARTIIND,450,2025-03-27,PE,50000,2025-02-18 13:06:00
54,AARTIIND460CE,AARTIIND,460,2025-03-27,CE,17000,2025-02-18 10:37:00
57,AARTIIND470CE,AARTIIND,470,2025-03-27,CE,25000,2025-02-18 15:11:00
65,AARTIIND500CE,AARTIIND,500,2025-03-27,CE,279000,2025-02-18 15:31:00
66,AARTIIND500PE,AARTIIND,500,2025-03-27,PE,28000,2025-02-18 10:04:00
73,AARTIIND530CE,AARTIIND,530,2025-03-27,CE,94000,2025-02-18 13:58:00
