,symbol,pct_change,strike_price_near,opt_ltp_near,strike_price_far,opt_ltp_far,bcrs_val
48,DIXON,2.39162422951998,15600.0,229.9,16000.0,140.375,50.849999999999994
60,HAL,2.2735903372410666,4300.0,60.775,4400.0,37.900000000000006,15.025000000000013
139,TRENT,0.33686569111181025,6700.0,102.825,6900.0,57.974999999999994,13.124999999999986
117,POLYCAB,0.18345445526624515,6600.0,46.275000000000006,6700.0,29.675,13.074999999999996
66,HEROMOTOCO,1.9229072946987742,4800.0,51.45,4900.0,32.175,12.899999999999991
96,MCX,0.7838380458423959,6200.0,92.75,6400.0,48.75,4.75
100,MPHASIS,-0.19485649082770123,2950.0,20.05,3000.0,12.15,4.25
131,TATACHEM,2.147239263803681,1100.0,11.675,1120.0,7.425,3.174999999999999
55,GLENMARK,0.5922521764458397,1600.0,23.25,1640.0,13.175,3.1000000000000014
119,RECLTD,0.22584446190102125,530.0,6.6,540.0,4.5,2.4000000000000004
35,CHOLAFIN,0.5591219714226549,1260.0,8.7,1280.0,5.525,2.3500000000000014
13,AUROPHARMA,0.514354066985646,1300.0,8.7,1320.0,5.3,1.9000000000000004
42,CROMPTON,-1.7210144927536233,390.0,7.825,400.0,4.775,1.7250000000000005
31,BSOFT,1.515288993739225,580.0,5.25,590.0,3.3499999999999996,1.4499999999999993
144,VEDL,0.5503324925475809,450.0,5.4,460.0,3.1500000000000004,0.9000000000000004
71,ICICIPRULI,0.8698173383589447,720.0,4.550000000000001,730.0,2.725,0.8999999999999995
26,BHEL,2.127564073791463,235.0,3.05,240.0,1.9,0.75
81,JINDALSTEL,3.103428273101688,920.0,7.375,940.0,4.05,0.7249999999999996
106,NMDC,-0.39826374904908934,230.0,2.9000000000000004,235.0,1.775,0.6499999999999995
8,APOLLOTYRE,4.766107678729037,490.0,4.55,500.0,2.5999999999999996,0.6499999999999995
120,RELIANCE,1.2651680923015716,1320.0,4.25,1340.0,2.425,0.5999999999999996
