,symbol,pct_change,strike_price_near,opt_ltp_near,strike_price_far,opt_ltp_far,bcrs_val
119,OFSS,0.27420159574241254,11500.0,327.0,11000.0,179.3,31.600000000000023
74,ICICIGI,-0.5005324813631523,1840.0,40.5,1780.0,21.15,1.7999999999999972
46,DEEPAKNTR,0.5815665488810364,2700.0,64.55,2600.0,32.724999999999994,0.8999999999999915
134,RELIANCE,1.5384615384615385,1280.0,20.2,1240.0,10.5,0.8000000000000007
18,BAJFINANCE,0.9077109665214838,6500.0,115.82499999999999,6300.0,58.25,0.6750000000000114
132,RBLBANK,-2.569931173833428,150.0,3.775,145.0,2.2,0.6250000000000004
43,CUB,-0.5767204569400544,175.0,3.6500000000000004,170.0,2.075,0.5
82,INDUSINDBK,-0.39970022483137646,980.0,21.0,940.0,10.675,0.3500000000000014
64,HCLTECH,1.11871899935303,1840.0,30.525,1780.0,15.375,0.22500000000000142
102,MARICO,0.43883285857263843,640.0,11.5,620.0,5.825,0.15000000000000036
159,UPL,-1.5247776365946633,530.0,10.175,510.0,5.15,0.125
85,IOC,-0.1876443418013857,135.0,2.775,130.0,1.4249999999999998,0.07499999999999973
135,SAIL,-0.05980861244019139,115.0,3.275,110.0,1.6749999999999998,0.07499999999999973
13,AUBANK,-0.7651759904778099,570.0,10.575,550.0,5.275,-0.02499999999999858
120,ONGC,0.4333267677762458,250.0,5.074999999999999,240.0,2.525,-0.024999999999999467
21,BANKBARODA,-1.597125174685566,240.0,4.9,230.0,2.425,-0.05000000000000071
148,TATAMOTORS,0.3503407860373272,770.0,16.0,740.0,7.95,-0.09999999999999964
76,IDEA,-2.4970273483947683,8.0,0.475,7.0,0.175,-0.125
127,PNB,-2.374497522669907,102.0,2.625,97.0,1.225,-0.17499999999999982
77,IDFCFIRSTB,-0.6187161639597835,63.0,1.3250000000000002,60.0,0.575,-0.17500000000000027
33,CANBK,-1.796927833059608,100.0,2.575,95.0,1.1749999999999998,-0.22500000000000053
116,NMDC,0.623637156563454,225.0,5.35,215.0,2.475,-0.39999999999999947
160,VEDL,-0.6704770279182237,440.0,9.325,420.0,4.45,-0.42499999999999893
56,GMRINFRA,0.21718146718146722,82.0,2.225,77.0,0.875,-0.4750000000000001
2,ABCAPITAL,-0.6503149162783552,190.0,4.4,180.0,1.9249999999999998,-0.5500000000000007
60,GRASIM,1.2257267497973208,2580.0,41.55,2500.0,20.475,-0.5999999999999943
10,APOLLOTYRE,0.3512293025589564,490.0,10.825,470.0,5.1,-0.625
53,EXIDEIND,-1.8605157219018607,440.0,10.625,420.0,5.0,-0.625
87,ITC,0.397323295692179,475.0,7.15,460.0,3.225,-0.7000000000000002
75,ICICIPRULI,-0.2582866982350409,680.0,15.25,650.0,7.175,-0.9000000000000004
86,IRCTC,-0.3177318831724307,800.0,15.375,770.0,7.175,-1.0250000000000004
80,INDHOTEL,1.1858463500159389,780.0,16.35,750.0,7.65,-1.0500000000000007
20,BANDHANBNK,-1.9712740594289704,165.0,4.55,155.0,1.725,-1.0999999999999996
78,IEX,0.19885233793534457,175.0,5.3,165.0,2.0999999999999996,-1.1000000000000005
71,HINDPETRO,-0.8232065856526851,370.0,9.925,350.0,4.4,-1.125
83,INDUSTOWER,-0.49957179560376813,340.0,8.825,320.0,3.8499999999999996,-1.125
84,INFY,0.14172259806936385,1840.0,30.75,1780.0,14.8,-1.1499999999999986
27,BHEL,-1.4688509096637001,245.0,7.3,230.0,3.075,-1.1499999999999995
24,BERGEPAINT,1.4398039415909325,490.0,9.875,470.0,4.35,-1.1750000000000007
54,FEDERALBNK,-0.4893426810332659,210.0,4.9,200.0,1.8250000000000002,-1.25
61,GUJGASLTD,-0.11594813955939708,470.0,11.35,450.0,5.025,-1.299999999999999
30,BPCL,-0.46153846153846156,285.0,7.05,270.0,2.875,-1.2999999999999998
108,MOTHERSON,-0.20925652387986213,160.0,4.375,150.0,1.525,-1.3250000000000002
3,ABFRL,-1.0855884203901827,310.0,7.775,295.0,3.2249999999999996,-1.325000000000001
45,DABUR,0.1892863903085368,525.0,9.65,505.0,4.15,-1.3499999999999996
23,BEL,0.519733636511288,305.0,8.100000000000001,290.0,3.375,-1.3500000000000014
151,TECHM,0.40593829737879844,1700.0,31.450000000000003,1640.0,15.05,-1.3500000000000014
129,POWERGRID,-1.9543487990452035,325.0,6.75,310.0,2.675,-1.4000000000000004
70,HINDCOPPER,-0.8673653776653417,270.0,8.175,255.0,3.375,-1.4250000000000007
0,AARTIIND,-0.5770084332001776,440.0,9.85,420.0,4.2,-1.4499999999999993
123,PETRONET,-0.42430671313835433,325.0,6.55,310.0,2.55,-1.4500000000000002
149,TATAPOWER,-0.8751948207648963,405.0,9.024999999999999,385.0,3.75,-1.5249999999999986
63,HAVELLS,0.05494664391682814,1700.0,30.225,1640.0,14.35,-1.5250000000000021
