,symbol,pct_change,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
219,YESBANK,-5.580468360737419,18.0,0.475,-0.3102714414578924,16.0,0.125,-0.09601963778860245,-0.22499999999999998
100,IDFCFIRSTB,-4.043949336181901,61.0,1.275,-0.3427288631735481,57.0,0.42500000000000004,-0.13633465705520165,-0.4249999999999998
112,IRB,-5.0247116968698515,56.0,1.525,-0.36632821035173746,52.0,0.475,-0.1472363761378167,-0.575
45,CANBK,-4.006677796327213,95.0,2.1500000000000004,-0.3536421058771877,89.0,0.75,-0.1492630565549462,-0.6500000000000004
155,NHPC,-5.504257105168485,76.0,1.725,-0.33342797542732205,70.0,0.475,-0.1148093716920624,-0.7750000000000001
172,PNB,-4.318096665417761,99.0,2.175,-0.34457198463008254,92.0,0.675,-0.13006766184465612,-0.8249999999999997
157,NMDC,-4.056437389770724,65.0,2.275,-0.4630631460448742,60.0,0.725,-0.18927786801350255,-0.825
182,SAIL,-3.344686053619771,105.0,1.875,-0.27496091351481433,95.0,0.42500000000000004,-0.07463169310375795,-1.025
74,FEDERALBNK,-3.924989097252508,195.0,4.975,-0.4041585167811538,185.0,1.9249999999999998,-0.1965121933872418,-1.125
101,IEX,-2.0951844550830754,170.0,4.65,-0.3874985202660509,160.0,1.75,-0.18258987180406916,-1.1500000000000004
30,BANKINDIA,-4.993793564403705,96.0,2.5999999999999996,-0.34807005565636406,88.0,0.7,-0.12241029300366568,-1.1999999999999997
59,CUB,-3.564525298465037,165.0,2.875,-0.3380904169406249,155.0,0.775,-0.11595527326700705,-1.325
146,MOTHERSON,-3.595687667476787,150.0,3.3,-0.3460751357761995,140.0,0.975,-0.1303558883842747,-1.3499999999999999
176,POWERGRID,-2.964832045418704,300.0,4.4,-0.3329469710743622,285.0,1.5,-0.13251759543773522,-1.4000000000000004
110,IOC,-4.13758365114773,130.0,2.675,-0.3600777907672057,120.0,0.625,-0.10720300506091307,-1.4249999999999998
28,BANDHANBNK,-3.742808370740343,145.0,2.75,-0.2882439667860315,130.0,0.625,-0.07600745676964216,-1.5
16,ASHOKLEY,-3.4863476156100046,220.0,3.1500000000000004,-0.30527101658769273,205.0,0.825,-0.09329198099519576,-1.5000000000000004
202,TATASTEEL,-4.649658641753503,130.0,2.875,-0.38164162305939264,120.0,0.675,-0.11541877891844288,-1.525
212,UNIONBANK,-8.459069020866774,110.0,3.075,-0.3486819508801716,100.0,0.775,-0.11508596385526226,-1.5250000000000001
189,SJVN,-6.719692814042788,100.0,3.5999999999999996,-0.4072723829668927,90.0,0.95,-0.14015880025481242,-1.6999999999999997
115,ITC,-7.685907436297453,435.0,6.9,-0.3588070304341908,415.0,2.5999999999999996,-0.1565757178339443,-1.700000000000001
133,LTF,-4.625107727664464,130.0,3.3,-0.3839754151614977,120.0,0.775,-0.12330949725254081,-1.7499999999999998
150,NATIONALUM,-3.5871647509578546,195.0,5.35,-0.35892440602296083,180.0,1.75,-0.1445277173626982,-1.8499999999999996
3,ABCAPITAL,-4.766007862566644,170.0,3.0999999999999996,-0.30677036196206464,155.0,0.625,-0.07819308286102522,-1.8499999999999996
37,BHEL,-4.830416936703392,215.0,6.0,-0.38166031611091156,200.0,2.075,-0.16308976377325501,-1.8499999999999996
163,ONGC,-1.9926909020965573,250.0,4.6,-0.3757712180705186,235.0,1.375,-0.13563774914424087,-1.8499999999999996
40,BPCL,-4.344908572387183,280.0,6.4,-0.390690962381683,265.0,2.275,-0.17399696884467375,-1.8500000000000005
90,HFCL,-6.494980357922306,105.0,3.525,-0.40511397514734904,95.0,0.825,-0.13027055501022877,-1.875
168,PETRONET,-0.5733252866626434,320.0,5.3,-0.32857646974785815,300.0,1.625,-0.11823544579693468,-2.05
92,HINDCOPPER,-5.66090351366425,230.0,5.625,-0.3587323918315126,210.0,1.725,-0.1263281544018029,-2.175
114,IRFC,-5.714659343533412,140.0,4.55,-0.37558534650401454,125.0,1.1749999999999998,-0.12089990097881609,-2.2
75,GAIL,-3.6381616613751104,180.0,4.025,-0.3555595896261883,165.0,0.875,-0.10168043298130025,-2.2750000000000004
159,NYKAA,3.143063583815029,165.0,3.75,-0.3301323308194799,150.0,0.725,-0.08690308024190907,-2.3
65,DELHIVERY,-0.5790645879732739,325.0,7.575,-0.3537503396944557,305.0,2.575,-0.15049516104872207,-2.425
48,CESC,-5.837033866566797,170.0,5.1,-0.3573871680542331,155.0,1.3,-0.12306791295832087,-2.4999999999999996
38,BIOCON,-2.9625639644492328,350.0,6.85,-0.3428742987474991,330.0,2.175,-0.13721839709590278,-2.5
29,BANKBARODA,-5.734219543409156,220.0,4.175000000000001,-0.31576937022050633,200.0,0.825,-0.0789378400121169,-2.525000000000001
153,NCC,-6.2623717833363335,250.0,5.8,-0.3230263923694847,230.0,1.625,-0.1136030307031175,-2.55
158,NTPC,-3.9198478864999267,320.0,5.225,-0.33851789107625785,300.0,1.3250000000000002,-0.1077119171019485,-2.5749999999999993
11,AMBUJACEM,-3.466110153343617,520.0,10.8,-0.36887181493723786,490.0,4.075,-0.16099284496766264,-2.6500000000000004
33,BEL,-3.6620677908363137,275.0,6.0,-0.35494138327935576,255.0,1.6,-0.12043894322528581,-2.8
62,DABUR,-4.045092838196287,495.0,7.4,-0.34365388152442256,470.0,2.275,-0.12848602778047613,-2.8500000000000005
53,COALINDIA,-3.838868544008082,370.0,6.0,-0.3279936716985924,345.0,1.55,-0.10255341274853391,-2.9
216,VEDL,-3.5501031375529255,430.0,8.899999999999999,-0.33652939893059663,400.0,2.975,-0.13091342207110113,-2.9499999999999984
4,ABFRL,-5.260351874888928,260.0,6.1,-0.36950638063273056,240.0,1.5750000000000002,-0.12221232782799774,-2.9499999999999993
201,TATAPOWER,-4.7988973812805416,370.0,7.775,-0.35764784142679695,345.0,2.375,-0.132747722404975,-3.0250000000000004
218,WIPRO,0.0,285.0,6.7,-0.34349462553142907,265.0,1.8250000000000002,-0.12447846056370637,-3.05
138,M&MFIN,-0.9678597516435353,265.0,7.2,-0.3849390790427647,245.0,2.025,-0.14134661151723837,-3.1500000000000004
117,JIOFIN,-3.8480194017784966,290.0,6.95,-0.3704094282020858,270.0,1.9,-0.133968638104219,-3.1500000000000004
34,BERGEPAINT,-2.3187459177008494,440.0,8.275,-0.3748496599067993,415.0,2.55,-0.14225952478477333,-3.1750000000000007
95,HUDCO,-2.7938148492066697,230.0,6.35,-0.325606460943738,205.0,1.5750000000000002,-0.09925012922219689,-3.1999999999999993
93,HINDPETRO,-6.00842865743528,380.0,10.05,-0.37128755364966604,355.0,3.425,-0.15930004843962386,-3.200000000000001
58,CROMPTON,0.8805201842319156,360.0,6.875,-0.3252576514430323,335.0,1.8,-0.10839850668270778,-3.275
162,OIL,-4.5746887966804985,450.0,12.8,-0.39096452098568135,420.0,4.725,-0.1757916554153589,-3.3500000000000014
15,APOLLOTYRE,-3.044199434091131,480.0,7.15,-0.3004435535495855,450.0,1.85,-0.09667154606768702,-3.45
120,JSWENERGY,-4.756663259690227,590.0,16.9,-0.37760629764301046,550.0,6.675000000000001,-0.17604581032552313,-3.549999999999997
