,symbol,pct_change,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
99,IDEA,-4.57280385078219,8.0,0.32499999999999996,0.4915191482138614,9.0,0.07500000000000001,0.15695146880442332,-0.17499999999999993
221,YESBANK,-5.580468360737419,20.0,0.475,0.34291412298104523,23.0,0.07500000000000001,0.07161035166353512,-0.32499999999999996
100,IDFCFIRSTB,-4.013428963833359,65.0,1.225,0.3611490554656949,69.0,0.42500000000000004,0.15433412691100198,-0.375
112,IRB,-5.0247116968698515,60.0,1.3250000000000002,0.3609383724319829,65.0,0.375,0.13174056287099492,-0.5750000000000002
156,NHPC,-5.504257105168485,82.0,1.725,0.35610104122124553,88.0,0.575,0.14714295355637394,-0.5750000000000002
45,CANBK,-3.9575763527447703,101.0,2.025,0.3691703951833734,107.0,0.675,0.15852387742225396,-0.6749999999999998
173,PNB,-4.318096665417761,106.0,1.9249999999999998,0.3468680455850776,113.0,0.575,0.13293020839773959,-0.7749999999999999
30,BANKINDIA,-5.012890289315383,104.0,2.275,0.35076324257507346,112.0,0.725,0.14170599695887862,-0.825
214,UNIONBANK,-8.459069020866774,119.0,2.8,0.3626385602432352,128.0,0.925,0.15276016225541275,-0.9499999999999997
147,MOTHERSON,-3.595687667476787,160.0,3.075,0.36099309201879715,170.0,1.025,0.15124110383957945,-1.0250000000000004
59,CUB,-3.564525298465037,175.0,2.575,0.34000530352202324,185.0,0.725,0.12292255935442763,-1.1250000000000002
191,SJVN,-6.719692814042788,105.0,3.325,0.421655680683936,115.0,1.05,0.17101350272027374,-1.225
184,SAIL,-3.3708846388961664,115.0,2.375,0.3568906430909296,125.0,0.575,0.11421218676620169,-1.225
28,BANDHANBNK,-3.755452993614466,160.0,2.725,0.31292810281975925,175.0,0.725,0.10026665636682248,-1.2750000000000001
133,LTF,-4.553289284688308,140.0,2.05,0.2919297182996027,155.0,0.32499999999999996,0.060860004983833656,-1.4
90,HFCL,-6.494980357922306,110.0,3.375,0.4237693470681856,120.0,0.975,0.16407783120816796,-1.425
114,IRFC,-5.714659343533412,150.0,4.175000000000001,0.38615219504806864,165.0,1.375,0.154621990045126,-1.4250000000000007
16,ASHOKLEY,-3.4863476156100046,235.0,2.9000000000000004,0.31487158445501057,250.0,0.675,0.09318010171392295,-1.5500000000000003
48,CESC,-5.837033866566797,185.0,4.15,0.34342585534162173,200.0,1.3,0.13723952516335383,-1.5500000000000003
3,ABCAPITAL,-4.766007862566644,185.0,2.625,0.3018285860488639,200.0,0.525,0.07975661375749588,-1.575
204,TATASTEEL,-4.649658641753503,135.0,3.025,0.4252239914357874,145.0,0.725,0.13999124568104068,-1.575
160,NYKAA,3.143063583815029,180.0,3.175,0.3172836333189066,195.0,0.775,0.10128655663846074,-1.6249999999999998
151,NATIONALUM,-3.5871647509578546,210.0,4.35,0.3492393731629148,225.0,1.275,0.13514062720132214,-1.7999999999999998
29,BANKBARODA,-5.7218346199892665,235.0,4.675000000000001,0.37812652730845736,250.0,1.4249999999999998,0.14941733406638058,-1.825000000000001
159,NTPC,-3.9198478864999267,335.0,5.6,0.3911838689727241,350.0,1.875,0.17038059459083074,-1.8499999999999996
92,HINDCOPPER,-5.66090351366425,245.0,5.15,0.3694313351356596,265.0,1.65,0.14196451381139585,-1.8500000000000005
177,POWERGRID,-2.964832045418704,315.0,4.3,0.3570715571167484,330.0,1.1749999999999998,0.12946704174447246,-1.9500000000000002
101,IEX,-2.0951844550830754,180.0,3.725,0.36567807638755717,195.0,0.875,0.1158361923866899,-1.975
164,ONGC,-1.9926909020965573,260.0,4.425000000000001,0.3905933022080007,275.0,1.225,0.14103115446874095,-1.9750000000000005
115,ITC,-7.6547061882475305,455.0,6.35,0.35573809558655106,475.0,2.125,0.15008058722562673,-2.0999999999999996
74,FEDERALBNK,-3.924989097252508,205.0,3.6500000000000004,0.3538458455847247,220.0,0.775,0.10505912696933631,-2.1000000000000005
75,GAIL,-3.6381616613751104,190.0,4.3,0.39823888683113773,205.0,1.0750000000000002,0.13468685898614152,-2.1499999999999995
33,BEL,-3.6791006642820645,295.0,4.75,0.3214891270581895,315.0,1.275,0.11222278600101163,-2.2
169,PETRONET,-0.5733252866626434,340.0,4.625,0.33112794605589035,360.0,1.1749999999999998,0.10899686172433148,-2.2750000000000004
37,BHEL,-4.808813998703824,230.0,4.65,0.3450914719053248,250.0,1.1749999999999998,0.11374428131582275,-2.3000000000000007
220,WIPRO,0.016969285593076533,305.0,6.3,0.366765427959753,325.0,1.975,0.14933053741693192,-2.3499999999999996
154,NCC,-6.2623717833363335,270.0,6.45,0.3777749321384609,290.0,2.05,0.15571169043386168,-2.3500000000000005
4,ABFRL,-5.260351874888928,275.0,5.55,0.37243183751370407,295.0,1.5750000000000002,0.13640936211241003,-2.3999999999999995
222,ZOMATO,-3.389830508474576,275.0,6.775,0.3790530534308444,295.0,2.175,0.15966838636930322,-2.4250000000000007
65,DELHIVERY,-0.5790645879732739,350.0,6.15,0.32688041135287416,375.0,1.85,0.12342544997922518,-2.45
40,BPCL,-4.294581446066097,295.0,4.9,0.3459653903474531,315.0,1.225,0.11432936608200214,-2.45
