,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
98,IDEA,2.7848101265822787,23.595738343400786,8.0,0.32499999999999996,-0.4267377557471459,7.0,0.07500000000000001,-0.12493090086378555,-0.17499999999999993
219,YESBANK,0.8975712777191129,7.134681105279163,18.0,0.375,-0.2742693378329577,16.0,0.07500000000000001,-0.06694903924112539,-0.22499999999999998
99,IDFCFIRSTB,-0.06371455877668047,83.28859977561879,61.0,1.25,-0.34922753838308385,57.0,0.375,-0.1296196098605491,-0.5
111,IRB,1.8763029881862403,0.05709285861203046,57.0,1.4249999999999998,-0.36268114969999776,53.0,0.42500000000000004,-0.1393347585133471,-0.5749999999999997
154,NHPC,-0.0759589821496392,0.49017939151716866,77.0,1.85,-0.37147505697009975,72.0,0.625,-0.15392926858840517,-0.6000000000000001
171,PNB,1.0965341687879382,44.44676417861027,100.0,1.975,-0.3340302029482176,93.0,0.6000000000000001,-0.1211886366250281,-0.7749999999999999
156,NMDC,1.1800766283524904,70.61004380003028,65.0,1.8250000000000002,-0.4125710583834403,60.0,0.525,-0.15089278585150545,-0.7750000000000001
45,CANBK,0.5425325007677346,60.75026781777293,95.0,1.8250000000000002,-0.3280731612785881,88.0,0.525,-0.1123477050837659,-0.7750000000000001
30,BANKINDIA,0.6133735545500252,99.99999985048603,97.0,2.45,-0.3554729174767354,90.0,0.775,-0.14046768912558938,-0.9000000000000001
109,IOC,1.0401855870687722,46.24625557713609,130.0,1.875,-0.29018272948273305,120.0,0.42500000000000004,-0.07834800364601169,-1.025
74,FEDERALBNK,-0.10570824524312897,98.12618593830497,195.0,4.775,-0.39854467558577045,185.0,1.875,-0.1928935995991683,-1.0250000000000004
100,IEX,0.1608640698609675,44.821333731290444,170.0,4.1,-0.37023069056074065,160.0,1.525,-0.1677979449486504,-1.0499999999999998
212,UNIONBANK,-0.9454609121946949,100.0,109.0,2.75,-0.3384209478846454,100.0,0.775,-0.12011961298877838,-1.2
202,TATASTEEL,0.8892238131122834,68.34669892866835,130.0,2.175,-0.328906660437424,120.0,0.475,-0.08856339445283878,-1.2249999999999999
145,MOTHERSON,-0.4203854611305135,45.879864894218144,150.0,3.4000000000000004,-0.3630623664498398,140.0,1.025,-0.1380560935194658,-1.3500000000000005
132,LTF,1.6528925619834711,63.14887405199201,130.0,2.325,-0.30375737465327046,120.0,0.475,-0.0828627916168424,-1.3750000000000002
4,ABFRL,1.876172607879925,65.34140772462871,265.0,5.575,-0.36431419808819465,250.0,2.0999999999999996,-0.16138285601852997,-1.3750000000000009
90,HFCL,2.390289449112979,6.302846452690591,105.0,2.475,-0.3184310681128443,95.0,0.525,-0.08893413679740314,-1.425
28,BANDHANBNK,2.1547759821311256,38.74342351992304,150.0,2.675,-0.31415990941268546,135.0,0.575,-0.07673169536449176,-1.525
59,CUB,1.0033050047214354,14.097343978853061,165.0,2.225,-0.28786871923174995,150.0,0.32499999999999996,-0.05232315034423751,-1.5750000000000002
189,SJVN,1.4421661924850389,5.422412432987907,100.0,2.8499999999999996,-0.3572127722109666,90.0,0.625,-0.10418080334962099,-1.5999999999999996
175,POWERGRID,-0.34135240572171655,47.9583507601394,300.0,4.55,-0.35007204208599696,285.0,1.475,-0.13526940248344654,-1.5999999999999996
29,BANKBARODA,1.955380577427822,78.1788816515339,225.0,3.875,-0.3133690163397539,210.0,1.125,-0.10953271583183921,-1.625
182,SAIL,1.0197635592455556,38.905279951075535,110.0,3.025,-0.4045039918699048,100.0,0.675,-0.11830669035442787,-1.6749999999999998
75,GAIL,1.2533765532144787,75.00906175175909,180.0,3.125,-0.30004072271441307,165.0,0.675,-0.08092567249758109,-1.775
158,NYKAA,0.4608026131591228,0.0005100314471814614,165.0,3.125,-0.30140105392664784,150.0,0.675,-0.08076298386915881,-1.775
16,ASHOKLEY,-1.0993360010553626,47.419715096931945,220.0,3.8499999999999996,-0.35911175008823415,205.0,1.025,-0.11389840775890314,-1.7999999999999998
149,NATIONALUM,2.566015217066985,40.285323158217324,200.0,5.025,-0.35593003835999126,185.0,1.6,-0.13850796865599857,-1.8250000000000002
37,BHEL,2.128335451080051,34.5871935070218,220.0,5.9,-0.38501320076316625,205.0,2.025,-0.16266312411463346,-1.8500000000000005
3,ABCAPITAL,2.042317266349853,30.90460542910551,175.0,3.075,-0.3303064878587567,160.0,0.575,-0.07814981855923175,-1.9250000000000003
107,INDUSTOWER,-0.3022061045633122,55.880607859074,320.0,6.6,-0.34232761580951077,300.0,2.275,-0.14073713677560085,-2.05
157,NTPC,0.25883069427527405,39.755579653148885,320.0,4.5,-0.31717885239800436,300.0,1.225,-0.1010747540809851,-2.05
113,IRFC,0.32566518847006654,0.29077518145301123,140.0,3.95,-0.355994813870113,125.0,0.925,-0.10371666391826995,-2.1
0,AARTIIND,0.5928121526491293,45.70611562475078,400.0,8.899999999999999,-0.3915867150630883,380.0,3.375,-0.1828575224999489,-2.1499999999999986
162,ONGC,3.435024703944789,18.498403798921583,260.0,4.95,-0.3982159166905965,245.0,1.375,-0.14012918157664322,-2.2
53,COALINDIA,0.17073811400052535,35.02253198388141,375.0,6.95,-0.3855438989247255,355.0,2.325,-0.15467612269398345,-2.3
167,PETRONET,0.8497723823975721,56.163045167525695,325.0,5.375,-0.3542791969707755,305.0,1.525,-0.1198604363229715,-2.325
114,ITC,-0.22492127755285649,98.22579213367851,435.0,6.9,-0.36225767889913696,415.0,2.275,-0.14718449896725028,-2.3500000000000005
38,BIOCON,6.608357628765791,73.96591408787981,375.0,8.8,-0.37390214136169586,355.0,3.225,-0.1726259009395743,-2.3500000000000005
65,DELHIVERY,0.0,98.90732836614814,325.0,6.800000000000001,-0.3389811116237288,305.0,2.2,-0.136663751810021,-2.4000000000000004
174,POONAWALLA,1.3786470022443091,99.73412050513677,305.0,6.075,-0.3232790801209129,285.0,1.7999999999999998,-0.12040023148721546,-2.4750000000000005
58,CROMPTON,-1.0190399570930546,41.48517580624379,360.0,7.199999999999999,-0.3581244938945418,340.0,2.3499999999999996,-0.14659894228194703,-2.5
48,CESC,2.3184277983480492,99.99999999999999,175.0,5.35,-0.3819260152166142,160.0,1.375,-0.13268221855711215,-2.5999999999999996
116,JIOFIN,1.109616677874916,3.7978628244836443,290.0,5.324999999999999,-0.31602388527152914,270.0,1.35,-0.10292847024449481,-2.624999999999999
40,BPCL,-0.42046250875963564,35.94608959350343,275.0,4.625,-0.31823377174944945,255.0,0.975,-0.08733823313957734,-2.675
152,NCC,4.713546656447595,0.42016730165668836,265.0,6.6,-0.355647335521048,245.0,1.925,-0.13133790409724533,-2.7499999999999996
137,M&MFIN,1.087758112094395,85.72658711940268,265.0,5.675,-0.3350103719196562,245.0,1.45,-0.11012827034554273,-2.775
33,BEL,1.5207780725022104,36.40141931544545,280.0,5.95,-0.3628007096843213,260.0,1.5750000000000002,-0.12148521056458161,-2.8
62,DABUR,1.0968379446640317,40.605577137135164,500.0,6.2,-0.32809534407048946,475.0,1.7,-0.10888043294090788,-2.8000000000000003
34,BERGEPAINT,0.8920606601248887,57.08637109201828,440.0,6.475,-0.32360447070142784,415.0,1.775,-0.10920400846877865,-2.925
218,WIPRO,-0.0339097999321804,99.80751338187412,285.0,6.6,-0.3414220000682111,265.0,1.8250000000000002,-0.12421891666555296,-2.9499999999999993
201,TATAPOWER,0.342601133219133,43.698132195160845,370.0,6.4,-0.33422033732272904,345.0,1.725,-0.10931134077545923,-2.95
92,HINDPETRO,-0.5252369971816552,65.30868273869119,375.0,8.274999999999999,-0.33518205506455234,350.0,2.6500000000000004,-0.13305808533803698,-2.974999999999998
94,HUDCO,0.09980869999168263,1.5084530188478658,230.0,6.05,-0.32250871660789193,205.0,1.45,-0.09471020832065469,-3.15
21,AUBANK,1.2855088097806544,64.94817263136197,550.0,11.225000000000001,-0.36306777636175935,520.0,4.025,-0.15766755863241477,-3.1750000000000007
77,GNFC,3.0876216968011128,39.76355253018192,540.0,9.35,-0.333036565369886,510.0,2.95,-0.12945860941012743,-3.4499999999999993
88,HDFCLIFE,2.2160210111621796,81.62791515293742,610.0,11.05,-0.367546023581929,580.0,3.675,-0.15278975149874263,-3.700000000000001
214,UPL,4.093735054997609,43.49180202183295,530.0,8.925,-0.33998821503028553,500.0,2.5999999999999996,-0.12353335944750832,-3.7250000000000014
216,VEDL,1.396710970939401,34.935261419788105,440.0,9.5,-0.3715878412429855,410.0,2.875,-0.13656975520825965,-3.75
11,AMBUJACEM,1.0823529411764705,41.812724458296145,520.0,8.125,-0.31417597188521396,480.0,2.1500000000000004,-0.0937482902307537,-3.8249999999999993
220,ZOMATO,-4.636260836788542,1.1949081154502355,245.0,6.85,-0.3594087271787729,220.0,1.475,-0.10160641188296737,-3.8999999999999995
73,EXIDEIND,0.13399926909489585,56.71232393406653,400.0,8.575,-0.3558145477697443,370.0,2.275,-0.11775530666288825,-4.0249999999999995
82,GUJGASLTD,-0.21596151958378326,21.144476197169077,500.0,9.875,-0.39138165961613813,470.0,2.9000000000000004,-0.14226741331894976,-4.074999999999999
198,TATACONSUM,0.8695193929173695,76.04983032589003,940.0,15.9,-0.3726631142861063,900.0,5.85,-0.1676190773990751,-4.200000000000001
101,IGL,0.7167602436984829,63.77834061394873,410.0,9.149999999999999,-0.3566042778085654,380.0,2.45,-0.1219070615104928,-4.249999999999998
56,CONCOR,-0.7719481878843386,73.75933366217787,740.0,14.975000000000001,-0.36040003323785963,700.0,5.325,-0.15622848886189145,-4.325000000000001
119,JSWENERGY,-0.8537798408488064,100.0,580.0,15.45,-0.3602839621518028,540.0,5.45,-0.1558216400318856,-4.549999999999999
181,RELIANCE,1.6004572735067162,42.9593825088047,1220.0,14.875,-0.3408930495854483,1170.0,5.15,-0.13739943528141496,-4.574999999999999
50,CHAMBLFERT,4.2855660475251645,32.01640522641169,490.0,11.100000000000001,-0.36611802983008634,460.0,3.25,-0.141818791420654,-4.600000000000001
15,APOLLOTYRE,0.18105009052504525,23.340284422839584,490.0,9.625,-0.3918232854592717,460.0,2.5,-0.13177079953040027,-4.625
80,GRANULES,1.2847790507364976,54.01871435940999,600.0,11.774999999999999,-0.3370104810630392,560.0,3.55,-0.1237940737124541,-4.674999999999999
95,ICICIBANK,1.0282472520978607,84.37330905234585,1260.0,18.775,-0.3664683972594287,1210.0,7.05,-0.16421764199661104,-4.674999999999999
168,PFC,-0.11164452383610583,30.48564901256966,430.0,8.399999999999999,-0.3123660508389542,390.0,1.8250000000000002,-0.08318526478671051,-4.749999999999998
180,RECLTD,0.4765146358066712,65.25356920064287,500.0,12.399999999999999,-0.3496637845510665,460.0,3.825,-0.13010434024929296,-4.749999999999998
112,IRCTC,0.5824111822947001,39.327597238760916,760.0,12.975000000000001,-0.35629160357506307,720.0,4.1,-0.1383606552391654,-4.775000000000002
138,MARICO,-0.30004616094783815,41.134472648792816,630.0,8.425,-0.3141844140086628,590.0,1.8,-0.08439389449397605,-4.825000000000001
102,INDHOTEL,0.9614250324407221,43.62370480278147,840.0,16.225,-0.37987596627863573,800.0,5.675000000000001,-0.16654225878659323,-4.875
91,HINDALCO,1.6036754507628297,29.541911581166225,570.0,9.25,-0.33194534201656867,530.0,2.125,-0.09479865606338722,-5.0
200,TATAMOTORS,2.1242459247850087,95.54640648345779,770.0,13.7,-0.3232223748632512,720.0,4.324999999999999,-0.12013246566431679,-5.050000000000001
128,LICHSGFIN,-1.2851742965140698,29.466893290944306,570.0,9.325,-0.3237379829397622,530.0,2.125,-0.09309589505986715,-5.074999999999999
193,SUNTV,-0.0522700119474313,28.047899427452137,650.0,10.9,-0.3298429443654274,610.0,2.9,-0.11065788660652698,-5.1000000000000005
215,VBL,-1.8492176386913233,0.1794020485732006,600.0,11.375,-0.32388132652565815,560.0,3.125,-0.11272304204273298,-5.125
183,SBICARD,-0.0681059728938228,95.89632751005853,715.0,12.175,-0.3430360519567517,675.0,3.5,-0.12456235765766388,-5.175000000000001
23,AXISBANK,0.3838951310861423,97.25352473041595,1050.0,18.825,-0.3658951128192859,1000.0,6.8,-0.1602178997158642,-5.225
46,CANFINHOME,2.3484902562638306,67.49810393631958,700.0,15.725000000000001,-0.37011108062778486,660.0,5.225,-0.15646564128077678,-5.275000000000002
161,OIL,3.4988590676953173,99.96920436649329,460.0,11.2,-0.34269293887325414,420.0,2.95,-0.11241144631154032,-5.299999999999999
185,SBIN,0.37827787395011864,48.23446764008383,770.0,12.75,-0.3814505351509738,730.0,3.675,-0.1372667381302144,-5.4
129,LICI,0.20027466239414057,0.021427792763078386,850.0,12.675,-0.3184299147621146,800.0,3.55,-0.10829557064428785,-5.575000000000001
97,ICICIPRULI,-0.04510260843418778,91.37023285323637,650.0,14.675,-0.3749032723996575,610.0,4.55,-0.14819700441760963,-5.575000000000001
104,INDIANB,0.7828554653097173,0.16064598219472231,500.0,12.425,-0.35899113260266324,460.0,3.4000000000000004,-0.12434386221250815,-5.625
70,DRREDDY,0.03686500036865,95.91057369327503,1330.0,22.799999999999997,-0.36633843847777037,1270.0,8.5,-0.16370296793309502,-5.799999999999997
118,JSL,0.6247177480054193,6.312631205060917,650.0,15.95,-0.36256603712963553,600.0,5.050000000000001,-0.13711071436722888,-5.849999999999998
115,JINDALSTEL,0.30267629566694987,33.491942732752236,920.0,16.25,-0.3442166624666365,870.0,5.2,-0.13581411557161716,-5.85
120,JSWSTEEL,1.1497429661157483,72.57434246566007,890.0,14.850000000000001,-0.33465773680885547,840.0,4.5,-0.12478648639465484,-5.850000000000001
68,DLF,0.6989978968204875,73.3497740020019,790.0,13.825,-0.3311292215128757,740.0,3.975,-0.11650264410342481,-5.874999999999999
192,SUNPHARMA,0.38544474393531,51.013126780174254,1840.0,23.75,-0.38774245141150887,1780.0,8.899999999999999,-0.17495740248940272,-5.950000000000003
127,LAURUSLABS,1.9323270857521977,76.26494056278074,600.0,14.375,-0.37395669960581546,560.0,4.175000000000001,-0.141391745612367,-6.024999999999999
106,INDUSINDBK,1.212619463570034,99.90676813297516,960.0,24.925,-0.37254637330932405,900.0,9.45,-0.17053428119519187,-6.025000000000002
43,BSOFT,0.4834884145228973,44.882093676638135,530.0,9.825,-0.31092792716248563,480.0,1.8250000000000002,-0.07302520446746175,-6.174999999999999
178,RAMCOCEM,0.4444212067342884,52.638867849555226,940.0,16.925,-0.36298558641133627,890.0,5.225,-0.14072799942431613,-6.475000000000001
121,JUBLFOOD,-1.155394002336752,64.16805926344695,740.0,14.175,-0.3428094534098798,690.0,3.8499999999999996,-0.1164368471281324,-6.475000000000001
