,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
198,TCS,-0.16776295938688068,45.12397079426626,4100.0,44.900000000000006,-0.40044501483566863,4135.8,4000.0,18.775,-0.19825824336739584,-7.3500000000000085,-0.0017771652400986528
151,NIFTY,-0.48721957604624955,76.7922185480354,23050.0,160.3,-0.36288308510874234,23263.65,22600.0,58.6,-0.15992342661536518,-43.10000000000001,-0.001852675740909101
171,POWERGRID,1.5240328253223916,77.42205323269059,300.0,4.225,-0.4041181101267852,303.1,290.0,1.775,-0.19465218742350232,-0.6749999999999998,-0.0022269877928076534
28,BANKNIFTY,-1.4924980710481264,96.74826684348832,48100.0,404.375,-0.35176632990161416,48706.0,46900.0,142.725,-0.15002940735772252,-118.92500000000001,-0.0024416909620991255
149,NESTLEIND,1.5837988184722893,59.23777411363022,2180.0,20.25,-0.3530465161042524,2209.6,2120.0,6.975,-0.14834276895045062,-6.300000000000001,-0.0028511947863866767
135,MARUTI,0.1232191309109918,82.91910613725142,11900.0,143.75,-0.3710935694096933,12066.55,11500.0,52.9,-0.16212293883893558,-37.95,-0.0031450580323290423
26,BANKBARODA,-0.3840279293039494,97.65637205461954,225.0,4.125,-0.39605662823852816,228.27,215.0,1.7,-0.1871941115479644,-0.7250000000000001,-0.00317606343365313
33,BHARTIARTL,-0.3061568135198849,59.28317441753528,1600.0,15.649999999999999,-0.3335036182954758,1628.15,1540.0,5.2,-0.12628545060628038,-5.249999999999998,-0.0032245186254337734
187,SUNPHARMA,1.2434147170452614,79.09345966407153,1760.0,16.4,-0.34132044918321625,1787.25,1700.0,5.3,-0.1288832594554934,-5.799999999999999,-0.0032452091201566648
176,RELIANCE,2.547344383637151,29.396194826725797,1280.0,9.8,-0.3123529994608383,1302.3,1240.0,2.775,-0.10807142379946566,-4.250000000000001,-0.0032634569607617302
17,ASTRAL,0.10963455149501661,73.11813588158599,1480.0,20.275,-0.35920340762700376,1506.65,1420.0,7.65,-0.1562117304086551,-4.974999999999998,-0.0033020276772973136
81,HCLTECH,0.5025407787978325,64.30365684067044,1760.0,19.85,-0.3488518950924291,1789.9,1700.0,6.95,-0.14667232533707897,-5.950000000000001,-0.0033242080563159956
13,APOLLOHOSP,0.5303810504634398,50.38627838924975,6750.0,75.9,-0.37636428816936274,6833.05,6550.0,26.424999999999997,-0.1628435081895636,-23.05000000000001,-0.0033733106006834444
77,GRASIM,0.9003843621923511,52.55236554349737,2340.0,25.875,-0.3567483822472869,2375.75,2260.0,8.9,-0.14642734171512017,-8.075,-0.003398926654740608
29,BATAINDIA,0.4878423539353897,78.16500528132767,1290.0,16.9,-0.3772520051428281,1308.0,1250.0,6.199999999999999,-0.1737799113393823,-4.5,-0.0034403669724770644
110,ITC,1.610861811068922,68.5766358647224,435.0,4.05,-0.3438301807590777,441.55,420.0,1.225,-0.12419853238921574,-1.5999999999999996,-0.003623598686445475
84,HDFCLIFE,0.03883495145631068,38.83739732184485,630.0,5.9,-0.30673654887160895,644.0,600.0,1.775,-0.10040706004026889,-2.3500000000000005,-0.0036490683229813674
83,HDFCBANK,-1.0285024883124718,99.93442937918309,1620.0,21.525,-0.3847785604297025,1640.7,1560.0,7.7,-0.16349010283304333,-6.124999999999998,-0.0037331626744682134
130,LUPIN,0.7038904213830496,69.47844861159214,2080.0,26.0,-0.35210211846872763,2117.4,2000.0,8.95,-0.14498930240192864,-8.100000000000001,-0.003825446302068575
42,CANBK,0.08184980560671168,88.98884164851549,96.0,1.725,-0.374672484870193,97.82,91.0,0.675,-0.16375291653699608,-0.375,-0.003833571866693928
108,IRCTC,1.8730013704888078,81.83664729182307,770.0,11.55,-0.38827026368749906,780.5,740.0,4.275,-0.17161904336201528,-3.0,-0.003843689942344651
53,COROMANDEL,-0.11962358445425061,56.27602406398978,1840.0,24.15,-0.34190214151385967,1878.65,1760.0,8.375,-0.13831301452667533,-7.399999999999999,-0.003938998749101748
52,CONCOR,-0.31549803618569316,55.77726495045459,760.0,9.8,-0.35179167246892296,774.1,730.0,3.375,-0.1451081285327125,-3.0500000000000007,-0.003940059423847049
23,BAJAJFINSV,-0.9430359293751287,71.21842119300167,1660.0,20.425,-0.36331498359822256,1685.9,1600.0,6.824999999999999,-0.14871143363382922,-6.775000000000002,-0.004018625066729937
206,ULTRACEMCO,-0.4749612803304078,99.99999919292229,10400.0,146.0,-0.3529825474653915,10602.9,10000.0,50.8,-0.15224770036158486,-44.400000000000006,-0.004187533599298306
158,ONGC,1.1474230317718788,12.41936178464816,260.0,2.275,-0.27935662673066475,267.1,245.0,0.575,-0.07592785847416006,-1.125,-0.004211905653313365
16,ASIANPAINT,1.8856898838019467,30.028504418005404,2240.0,24.799999999999997,-0.378092756644801,2266.6,2160.0,7.625,-0.14109172403133508,-9.549999999999997,-0.004213359216447541
153,NTPC,0.18433179723502305,63.54688094235874,320.0,4.125,-0.3493219307901846,326.1,305.0,1.375,-0.1323059716199737,-1.375,-0.004216498006746397
127,LT,1.3305501121808527,53.1215412293109,3500.0,31.15,-0.31550219583931693,3567.95,3350.0,7.95,-0.0950434391031546,-15.249999999999998,-0.004274163034795891
144,MUTHOOTFIN,-1.3964881756370047,57.065726095204326,2120.0,30.375,-0.3734583079761733,2153.55,2040.0,10.55,-0.16094364496647384,-9.274999999999999,-0.004306842190801234
196,TATAPOWER,1.2582871059396565,48.97845662789694,365.0,4.475,-0.3186087296390595,374.2,345.0,1.4249999999999998,-0.1113845350663144,-1.625,-0.0043425975414217
216,ZYDUSLIFE,0.8238980994743227,34.01848116187835,980.0,11.225000000000001,-0.3463690175547015,997.35,940.0,3.425,-0.12682396236645366,-4.375000000000002,-0.004386624555070939
78,GUJGASLTD,1.6226145525053575,40.9930376310235,490.0,7.175,-0.3734981074922654,497.9,470.0,2.475,-0.15678481597457772,-2.2249999999999996,-0.004468768829082145
193,TATACONSUM,2.0478907791584446,67.55343927798447,940.0,10.25,-0.34165254051650673,956.75,900.0,2.975,-0.11770802341527209,-4.3,-0.00449438202247191
32,BHARATFORG,0.02072023538187394,41.7570472167342,1180.0,15.149999999999999,-0.33270787062841545,1206.8,1120.0,4.85,-0.12084385650688012,-5.449999999999999,-0.004516075571760026
145,NATIONALUM,2.8213639106819555,55.04132431820641,200.0,3.875,-0.3667400850869562,204.45,190.0,1.475,-0.1661410945674463,-0.9249999999999998,-0.004524333577891905
1,ABBOTINDIA,2.196165129656099,56.36170340115202,27500.0,337.65,-0.3648984210302608,27920.35,26500.0,105.55,-0.14352467729092155,-126.54999999999998,-0.004532536304165241
21,AXISBANK,-4.454898948682253,79.81071467646753,980.0,11.399999999999999,-0.3614787852849999,995.15,940.0,3.425,-0.13022499799882592,-4.549999999999999,-0.004572175048987589
201,TITAN,1.1806109097471837,34.07679587624221,3300.0,29.275,-0.31453972240396677,3363.8,3150.0,6.925,-0.08806630995246023,-15.424999999999999,-0.004585587728164575
205,UBL,1.308324049845851,27.975440275581242,1920.0,22.025,-0.34328207050364956,1955.2,1840.0,6.525,-0.12299037357971865,-8.974999999999998,-0.0045903232405891965
104,INFY,-5.760900578424507,76.51861774313633,1780.0,19.075,-0.32670677269904136,1816.6,1700.0,5.324999999999999,-0.10836372323780019,-8.425,-0.004637784872839371
111,JINDALSTEL,0.6624314492045393,41.8231227197159,910.0,12.875,-0.3587423862565857,926.95,870.0,4.275,-0.1431163894828793,-4.324999999999999,-0.004665839581422945
116,JSWSTEEL,0.04948317572025512,99.17492187765698,890.0,12.45,-0.3416020598857018,909.85,850.0,4.1,-0.1358230754960027,-4.25,-0.00467109963180744
31,BERGEPAINT,0.7178827815279117,41.40010884515297,460.0,4.925,-0.3210779988214806,470.0,440.0,1.35,-0.10741849961624439,-2.2249999999999996,-0.004734042553191488
129,LTTS,2.828647579743788,24.93368448845161,5300.0,77.42500000000001,-0.3766677203149429,5382.0,5050.0,25.925,-0.14609431744854795,-25.57500000000001,-0.004751950947603123
89,HINDUNILVR,0.35045984579766787,99.99823065658333,2320.0,28.375,-0.3490826135448758,2362.3,2240.0,8.5,-0.1384103937016442,-11.375,-0.004815222452694407
87,HINDALCO,2.1123260437375744,37.39634002485277,600.0,6.125,-0.2941024570390137,616.35,560.0,1.5750000000000002,-0.07893956008389824,-2.9749999999999996,-0.004826802952867688
128,LTIM,-0.9408669716315623,29.766550291492134,5800.0,69.275,-0.34559541169840047,5911.75,5550.0,20.35,-0.12317622948120066,-28.575000000000003,-0.004833594113418193
