,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
70,ESCORTS,3.34404097523426,0.1377177653777204,3500.0,23.25,0.45007778313707064,3490.6,3550.0,11.85,0.2434011739129549,0.4499999999999993,0.0001289176645848849
83,HAVELLS,-0.5824402582706517,44.86800485289216,1500.0,8.875,0.4177017944469128,1493.55,1520.0,3.825,0.21129379173719093,-1.2249999999999996,-0.0008201934987111242
29,BANKINDIA,4.754615899741702,81.29773109424751,111.0,0.575,0.31011100073799697,109.5,115.0,0.225,0.10982535357737104,-0.12499999999999994,-0.0011415525114155246
93,HINDUNILVR,-0.2463928504311875,0.1677109794158806,2400.0,6.050000000000001,0.3394150275124904,2388.65,2440.0,1.65,0.0931224579285536,-2.750000000000001,-0.0011512779184895236
153,NIFTY,0.6414563312899816,99.90825747388688,23100.0,85.55000000000001,0.37613132335388916,22993.0,23300.0,29.25,0.17182887803522043,-27.05000000000001,-0.0011764450050015228
13,APOLLOHOSP,0.22572351112174122,13.066123037762017,6750.0,25.25,0.34455566012173944,6704.7,6850.0,8.6,0.13378728848036542,-8.05,-0.001200650290095008
188,SONACOMS,-2.7414634146341466,0.6050043218959775,500.0,4.725,0.4604006974683114,498.45,510.0,2.025,0.23149693358516682,-0.6749999999999998,-0.0013541980138429127
173,POWERGRID,-1.2697860497477822,97.93886814536471,285.0,2.1500000000000004,0.43452661168289697,283.8,290.0,0.875,0.20962577978690722,-0.40000000000000036,-0.0014094432699083873
163,PEL,4.329478818435907,5.964403154351603,960.0,6.75,0.38147119965680093,951.85,980.0,2.7,0.17455789892034143,-1.3499999999999996,-0.0014182906970636126
95,ICICIBANK,1.5703824247355576,74.20056656420965,1260.0,4.0,0.2969660769908644,1248.3,1280.0,1.0750000000000002,0.0965304763508228,-1.8499999999999996,-0.0014820155411359446
37,BIOCON,-2.750438182553593,83.61755223690601,365.0,2.7,0.35723343009990194,360.65,375.0,1.0750000000000002,0.1543828934673372,-0.5499999999999998,-0.0015250242617496183
214,VEDL,0.4011799410029499,89.18741999890202,430.0,3.0,0.36222016625589076,425.45,440.0,1.1749999999999998,0.16008850737918964,-0.6500000000000004,-0.001527794100364321
202,TECHM,-0.05778764560965966,31.54585646630522,1660.0,6.375,0.306735507136407,1643.0,1700.0,1.9249999999999998,0.0968814588587207,-2.5250000000000004,-0.001536822884966525
86,HDFCBANK,2.4449278470541373,76.61892719241048,1680.0,8.0,0.39318149488696486,1671.85,1700.0,2.7,0.17287339531159712,-2.5999999999999996,-0.0015551634416963243
69,EICHERMOT,-0.7189916651303597,47.83121781076408,5150.0,24.799999999999997,0.3692633494448813,5116.0,5250.0,8.175,0.1365280230291138,-8.449999999999996,-0.00165168100078186
149,NAVINFLUOR,-0.7794156466649068,1.8541935326391292e-26,3600.0,21.5,0.3709299087638261,3570.8,3700.0,7.775,0.13642493139930748,-5.949999999999999,-0.0016662932676151
30,BANKNIFTY,1.6931861787256701,99.96095584163652,49200.0,209.64999999999998,0.3637519428264743,48895.05,49800.0,63.95,0.14728746176729138,-81.74999999999997,-0.0016719483874134491
31,BATAINDIA,0.18973034070725012,68.92665289090654,1250.0,6.425000000000001,0.36719591471491825,1240.95,1270.0,2.175,0.15250468578664886,-2.075000000000001,-0.0016721060477859712
33,BERGEPAINT,-1.4328730142248989,43.866787454345214,480.0,1.75,0.29301327054936493,474.65,490.0,0.475,0.0915900995385704,-0.8,-0.0016854524386389973
146,MUTHOOTFIN,0.08879749497593122,60.76042925854479,2160.0,12.524999999999999,0.3640783430512545,2141.6,2200.0,4.425,0.15393677144080148,-3.674999999999999,-0.0017160067239447138
131,LTIM,-0.28988061148068195,74.3659606385421,5700.0,37.425,0.3875400901629368,5658.3,5800.0,13.7,0.1746716595184647,-10.024999999999999,-0.0017717335595496878
167,PIDILITIND,-0.2594959856493495,1.5180041778313802,2880.0,12.075,0.36907121940443094,2863.5,2920.0,3.4749999999999996,0.13652182851664488,-5.125,-0.00178976776671905
166,PFC,-0.46236835345491906,79.47725345910112,390.0,4.05,0.4306044622227678,387.5,400.0,1.6749999999999998,0.2063259984553865,-0.7000000000000002,-0.0018064516129032264
114,JIOFIN,0.10725010725010724,87.07155965850521,235.0,2.775,0.4336654827896619,233.35,240.0,1.1749999999999998,0.2333653029077918,-0.42500000000000027,-0.0018212984786800954
90,HINDALCO,-1.967129353657498,98.8487828345178,580.0,4.4,0.39657315385614406,575.6,590.0,1.6749999999999998,0.19161646013041297,-1.0500000000000007,-0.0018241834607366238
137,MARICO,1.308980213089802,95.37697104743471,670.0,4.525,0.39807760926693603,665.6,680.0,1.65,0.189692260004022,-1.2250000000000005,-0.0018404447115384624
133,LUPIN,-2.601657352090962,99.04365210719655,2040.0,13.05,0.3680780004869587,2021.6,2080.0,4.65,0.15827018162926176,-3.75,-0.0018549663632766126
39,BPCL,-0.8403361344537815,72.10133711448705,255.0,2.125,0.4298220666510671,253.7,260.0,0.825,0.20285905946034702,-0.4750000000000001,-0.0018722901064249118
160,ONGC,-0.7894736842105263,43.940321600071044,250.0,1.625,0.4181377403493376,248.82,255.0,0.575,0.17121163451198151,-0.4750000000000001,-0.0019090105297001852
127,LICI,1.3564338121955732,5.829670078165972e-14,830.0,3.925,0.33288489357313644,821.95,850.0,1.1749999999999998,0.11038159450184235,-1.5750000000000002,-0.0019161749498144657
182,SBILIFE,-0.10547781449968359,19.563507455348308,1440.0,4.275,0.25284519724582827,1420.6,1480.0,0.775,0.05224683124030365,-2.7250000000000005,-0.0019182035759538229
40,BRITANNIA,-1.9934265543865108,62.65086475873287,5100.0,16.675,0.27536835743229426,5039.4,5250.0,3.4000000000000004,0.06040295721308876,-9.875,-0.001959558677620352
4,ACC,0.5263157894736843,74.4105395782471,2020.0,13.3,0.3892574381835827,2005.5,2060.0,4.65,0.1639698927617188,-4.0,-0.0019945150835203192
14,APOLLOTYRE,1.2716900404088425,28.45986498682478,430.0,2.3,0.34985299476718995,426.05,440.0,0.725,0.1251752548655074,-0.8499999999999999,-0.001995071001056214
6,ADANIENT,1.4163365569743511,70.49843039648765,2320.0,17.4,0.35537946836311113,2291.35,2400.0,6.375,0.1355571174841247,-4.649999999999999,-0.0020293713313112353
210,UNIONBANK,4.678638941398866,2.9859772376233202,112.0,0.475,0.3083861883990102,110.75,115.0,0.125,0.08857234492903376,-0.22499999999999998,-0.0020316027088036117
196,TATACONSUM,-0.6487440315549098,66.8884451294589,970.0,3.6500000000000004,0.2790453147349579,957.15,1000.0,0.8500000000000001,0.06937711696840308,-1.9500000000000002,-0.0020372982291176935
132,LTTS,-2.784334916526834,20.979843457839724,5200.0,20.5,0.2784927521807124,5127.3,5350.0,4.949999999999999,0.0747147930836069,-10.600000000000001,-0.0020673648899030683
52,COFORGE,-3.3873644485870824,94.63500739463379,8600.0,64.275,0.35985396533083797,8499.4,8800.0,23.1,0.1560284568456347,-18.075000000000003,-0.002126620702637834
142,MFSL,0.18214936247723132,-99900.0,1060.0,4.75,0.29059815861362887,1045.0,1100.0,1.25,0.07623129628289256,-2.25,-0.00215311004784689
74,GLENMARK,-0.12131592093056448,5.007373262023192,1420.0,5.375,0.2715529937945153,1399.6,1460.0,1.15,0.06747346780125839,-3.075,-0.002197056301800515
176,RAMCOCEM,3.010545413312167,99.76465868335197,920.0,4.775,0.3174916125435958,908.45,940.0,1.375,0.11302856677771449,-2.0250000000000004,-0.00222907149540426
68,DRREDDY,-1.25036713800193,83.01177003953558,1190.0,4.9,0.30561982721884606,1176.75,1220.0,1.125,0.08234094741939513,-2.6500000000000004,-0.00225196515827491
155,NTPC,-1.1812247435498913,75.76743978643428,320.0,1.875,0.38662351779458715,317.9,325.0,0.575,0.15891526416113685,-0.7250000000000001,-0.002280591380937402
84,HCLTECH,-1.1370262390670554,96.27432051514349,1720.0,7.125,0.28178011943839487,1695.5,1760.0,1.625,0.08074508291130963,-3.875,-0.002285461515777057
108,IPCALAB,-4.606605568044268,4.3316833589743565e-31,1400.0,5.825,0.2777882753332237,1379.15,1460.0,1.325,0.06161102315490673,-3.1750000000000003,-0.0023021426240800494
157,OBEROIRLTY,-0.2908098163150242,99.99397186062866,1700.0,15.350000000000001,0.3769354802689018,1680.05,1740.0,5.725,0.17496104107105276,-3.900000000000002,-0.002321359483348711
193,SYNGENE,-2.8217886604687705,2.908821717764225,750.0,2.825,0.302601575888257,742.15,770.0,0.55,0.06880762821401418,-1.725,-0.0023243279660446004
179,RELIANCE,0.6060113067881401,13.971741387493475,1240.0,5.925000000000001,0.43460917737189625,1236.8,1260.0,1.525,0.14157065723981233,-2.875000000000001,-0.00232454721862872
7,ADANIGREEN,-0.5332260174053022,0.00041385738346705233,1000.0,10.600000000000001,0.39353845286082506,988.65,1040.0,4.15,0.16223095872740398,-2.3000000000000007,-0.0023264046932685994
48,CHAMBLFERT,-1.9581151832460735,29.503418253071505,470.0,4.25,0.44812291295709566,468.15,480.0,1.5750000000000002,0.20438255448327655,-1.0999999999999996,-0.00234967424970629
115,JKCEMENT,0.6780264922870557,49.12824483135633,4850.0,30.049999999999997,0.3599402005333758,4803.55,4950.0,9.375,0.14064708962185926,-11.299999999999997,-0.0023524268509747992
