,symbol,expiry,b_avg,a_avg
0,AARTIIND,2025-02-27,0.049802679842853616,0.0031296121802623367
1,AARTIIND,2025-03-27,0.024562530393774193,0.0007612570168205684
2,ABB,2025-02-27,0.004920157973132441,1.3632930101180642e-05
3,ABB,2025-03-27,0.0024266069644960577,3.316118132719615e-06
4,ABBOTINDIA,2025-02-27,0.0010879444276648573,1.345104572206233e-06
5,ABBOTINDIA,2025-03-27,0.0005365708864578272,3.2718759864475934e-07
6,ABCAPITAL,2025-02-27,0.1492771529097648,0.03307461945067476
7,ABCAPITAL,2025-03-27,0.07362303829857689,0.008045177704218184
8,ABFRL,2025-02-27,0.09144231499295058,0.006787365307409964
9,ABFRL,2025-03-27,0.0450990719450957,0.0016509807504510722
10,ACC,2025-02-27,0.011195928189235514,0.00022700059919973753
11,ACC,2025-03-27,0.005521797768761463,5.5216361967503735e-05
12,ADANIENSOL,2025-02-27,-0.002693429677058453,0.0007795104369302284
13,ADANIENSOL,2025-03-27,-0.0013283913338598154,0.00018961064682086637
14,ADANIENT,2025-02-27,0.009719478878659458,0.00015234105340680072
15,ADANIENT,2025-03-27,0.0047936174543622735,3.7055931909762334e-05
16,ADANIGREEN,2025-02-27,-0.008253242506912516,0.00056798660186893
17,ADANIGREEN,2025-03-27,-0.004070474130365838,0.00013815890315730734
18,ADANIPORTS,2025-02-27,0.025571452112151637,0.0008892807903527278
19,ADANIPORTS,2025-03-27,0.012611762493495505,0.00021631154359931217
20,ALKEM,2025-02-27,-0.0006535781267851077,2.7798053019055926e-05
21,ALKEM,2025-03-27,-0.00032234274650521234,6.761688572202791e-06
22,AMBUJACEM,2025-02-27,0.04262203236528272,0.006406689687122563
23,AMBUJACEM,2025-03-27,0.021021056873245923,0.0015583839779487315
24,ANGELONE,2025-02-27,0.010314038951497908,0.00012527320782699912
25,ANGELONE,2025-03-27,0.0050868526759627955,3.0471861363324105e-05
26,APLAPOLLO,2025-02-27,0.025031887773456378,0.0003476353953400866
27,APLAPOLLO,2025-03-27,0.012345651000892754,8.45599610286697e-05
