,Symbol,Step Value,Expiry
0,AARTIIND,5,2025-02-27
2,AARTIIND,5,2025-03-27
4,AARTIIND,10,2025-04-24
6,ABB,100,2025-02-27
8,ABB,100,2025-03-27
10,ABB,200,2025-04-24
12,ABBOTINDIA,250,2025-02-27
14,ABCAPITAL,5,2025-02-27
16,ABCAPITAL,5,2025-03-27
18,ABCAPITAL,5,2025-04-24
20,ABFRL,5,2025-02-27
22,ABFRL,5,2025-03-27
24,ABFRL,10,2025-04-24
27,ACC,20,2025-02-27
29,ACC,20,2025-03-27
30,ACC,40,2025-04-24
32,ADANIENSOL,20,2025-02-27
34,ADANIENSOL,20,2025-03-27
36,ADANIENSOL,40,2025-04-24
39,ADANIENT,20,2025-02-27
40,ADANIENT,20,2025-03-27
42,ADANIENT,40,2025-04-24
44,ADANIGREEN,20,2025-02-27
46,ADANIGREEN,20,2025-03-27
48,ADANIGREEN,40,2025-04-24
50,ADANIPORTS,20,2025-02-27
52,ADANIPORTS,20,2025-03-27
54,ADANIPORTS,40,2025-04-24
56,ALKEM,50,2025-02-27
58,ALKEM,50,2025-03-27
60,ALKEM,100,2025-04-24
62,AMBUJACEM,5,2025-02-27
65,AMBUJACEM,5,2025-03-27
67,AMBUJACEM,10,2025-04-24
68,ANGELONE,100,2025-02-27
70,ANGELONE,100,2025-03-27
72,ANGELONE,200,2025-04-24
74,APLAPOLLO,20,2025-02-27
76,APLAPOLLO,20,2025-03-27
78,APLAPOLLO,40,2025-04-24
80,APOLLOHOSP,50,2025-02-27
82,APOLLOHOSP,50,2025-03-27
84,APOLLOHOSP,100,2025-04-24
86,APOLLOTYRE,10,2025-02-27
88,APOLLOTYRE,10,2025-03-27
90,APOLLOTYRE,20,2025-04-24
93,ASHOKLEY,5,2025-02-27
95,ASHOKLEY,5,2025-03-27
96,ASHOKLEY,5,2025-04-24
99,ASIANPAINT,20,2025-02-27
101,ASIANPAINT,20,2025-03-27
102,ASIANPAINT,40,2025-04-24
104,ASTRAL,20,2025-02-27
106,ASTRAL,20,2025-03-27
109,ASTRAL,40,2025-04-24
110,ATGL,10,2025-02-27
112,ATGL,10,2025-03-27
114,ATGL,20,2025-04-24
116,ATUL,100,2025-02-27
119,AUBANK,5,2025-02-27
120,AUBANK,5,2025-03-27
122,AUBANK,10,2025-04-24
124,AUROPHARMA,20,2025-02-27
126,AUROPHARMA,20,2025-03-27
129,AUROPHARMA,40,2025-04-24
131,AXISBANK,10,2025-02-27
133,AXISBANK,10,2025-03-27
134,AXISBANK,20,2025-04-24
136,BAJAJ-AUTO,100,2025-02-27
138,BAJAJ-AUTO,100,2025-03-27
140,BAJAJ-AUTO,200,2025-04-24
142,BAJAJFINSV,20,2025-02-27
144,BAJAJFINSV,20,2025-03-27
146,BAJAJFINSV,40,2025-04-24
148,BAJFINANCE,100,2025-02-27
150,BAJFINANCE,100,2025-03-27
152,BAJFINANCE,200,2025-04-24
154,BALKRISIND,20,2025-02-27
156,BALKRISIND,20,2025-03-27
158,BALKRISIND,40,2025-04-24
160,BANDHANBNK,5,2025-02-27
162,BANDHANBNK,5,2025-03-27
164,BANDHANBNK,5,2025-04-24
166,BANKBARODA,5,2025-02-27
168,BANKBARODA,5,2025-03-27
170,BANKBARODA,5,2025-04-24
172,BANKINDIA,1,2025-02-27
174,BANKINDIA,1,2025-03-27
176,BANKINDIA,2,2025-04-24
178,BATAINDIA,10,2025-02-27
180,BEL,5,2025-02-27
182,BEL,5,2025-03-27
184,BEL,10,2025-04-24
186,BERGEPAINT,5,2025-02-27
188,BERGEPAINT,5,2025-03-27
190,BERGEPAINT,10,2025-04-24
192,BHARATFORG,20,2025-02-27
195,BHARATFORG,20,2025-03-27
196,BHARATFORG,40,2025-04-24
198,BHARTIARTL,20,2025-02-27
200,BHARTIARTL,20,2025-03-27
202,BHARTIARTL,40,2025-04-24
204,BHEL,5,2025-02-27
206,BHEL,5,2025-03-27
208,BHEL,10,2025-04-24
210,BIOCON,5,2025-02-27
212,BIOCON,5,2025-03-27
214,BIOCON,10,2025-04-24
216,BOSCHLTD,500,2025-02-27
218,BOSCHLTD,500,2025-03-27
220,BOSCHLTD,1000,2025-04-24
